id,name,type_project,scale,start_date,end_date,status_project,created_at,last_updated_at
37,Containerization with Docker Swarm,infrastructure_improvements,high,2015-03-15,2016-01-15,delayed,2015-03-10,2015-03-12
38,Real-Time Feedback with Socket.io,software_development,medium,2015-05-01,2016-01-01,success,2015-04-25,2015-04-28
39,Network Automation with Ansible,infrastructure_improvements,medium,2015-06-15,2016-03-15,success,2015-06-10,2015-06-12
40,Social Analytics with Python Pandas,data_analytics,medium,2015-08-01,2016-04-01,cancelled,2015-07-25,2015-07-28
41,Cloud CRM with Salesforce Integration,crm_implementation,high,2015-09-20,2016-07-20,success,2015-09-15,2015-09-18
42,Mobile Banking with React Native,software_development,medium,2015-11-01,2016-07-01,delayed,2015-10-25,2015-10-28
43,Enterprise IoT with Azure IoT Hub,iot_implementation,high,2016-01-20,2016-11-20,success,2016-01-15,2016-01-18
44,Legacy to Microservices Architecture,infrastructure_improvements,medium,2016-03-01,2017-01-01,partial,2016-02-25,2016-02-28
45,E-commerce Analytics with Google Analytics,data_analytics,medium,2016-04-15,2017-02-15,success,2016-04-10,2016-04-12
46,AI Chatbot with TensorFlow,ai_ml_project,medium,2016-06-01,2017-02-01,failed,2016-05-25,2016-05-28
47,CI/CD Pipeline with Jenkins,infrastructure_improvements,high,2016-07-20,2017-05-20,delayed,2016-07-15,2016-07-18
48,Customer Portal with Angular 2,software_development,medium,2016-09-01,2017-05-01,success,2016-08-25,2016-08-28
49,Zero Trust with Zscaler,security_compliance,medium,2016-10-15,2017-06-15,success,2016-10-10,2016-10-12
50,Social Media Analytics with Power BI,data_analytics,medium,2016-12-01,2017-08-01,cancelled,2016-11-25,2016-11-28
51,Microservices with Kubernetes,software_development,high,2017-01-20,2017-11-20,success,2017-01-15,2017-01-18
52,Mobile Health App with Flutter,software_development,medium,2017-03-01,2018-01-01,delayed,2017-02-25,2017-02-28
53,IoT Analytics with AWS Kinesis,iot_implementation,high,2017-04-15,2018-02-15,success,2017-04-10,2017-04-12
54,Legacy App Containerization,infrastructure_improvements,medium,2017-06-01,2018-04-01,partial,2017-05-25,2017-05-28
55,Real-Time Analytics with Apache Kafka,data_analytics,medium,2017-07-20,2018-05-20,success,2017-07-15,2017-07-18
56,AI Assistant with Rasa Framework,ai_ml_project,medium,2015-02-01,2015-10-01,failed,2015-01-25,2015-01-28
57,CI/CD Pipeline with GitLab CI,infrastructure_improvements,high,2015-04-10,2016-02-10,delayed,2015-04-05,2015-04-08
58,Customer Portal v2 with Vue.js,software_development,medium,2015-06-01,2016-02-01,success,2015-05-25,2015-05-28
59,Security Framework with CrowdStrike,security_compliance,medium,2015-07-15,2016-03-15,success,2015-07-10,2015-07-12
60,Social Tool with MERN Stack,software_development,medium,2015-09-01,2016-05-01,cancelled,2015-08-25,2015-08-28
61,Machine Learning Platform with Scikit-learn,ai_ml_project,high,2015-10-20,2016-08-20,success,2015-10-15,2015-10-18
62,Mobile Health v2 with React Native,software_development,medium,2015-12-01,2016-08-01,delayed,2015-11-25,2015-11-28
63,IoT Integration Hub with MQTT,iot_implementation,high,2016-02-15,2016-12-15,success,2016-02-10,2016-02-12
64,Container Orchestration with Kubernetes,infrastructure_improvements,medium,2016-04-01,2017-02-01,partial,2016-03-25,2016-03-28
65,Customer Analytics with Tableau,data_analytics,medium,2016-05-20,2017-03-20,success,2016-05-15,2016-05-18
66,AI Chatbot v2 with Microsoft Bot Framework,ai_ml_project,medium,2016-07-01,2017-03-01,failed,2016-06-25,2016-06-28
67,CI/CD v2 with Travis CI,infrastructure_improvements,high,2016-08-15,2017-06-15,delayed,2016-08-10,2016-08-12
68,Feedback Portal v2 with Express.js,software_development,medium,2016-10-01,2017-06-01,success,2016-09-25,2016-09-28
69,Zero Trust v2 with Duo Security,security_compliance,medium,2016-11-20,2017-09-20,success,2016-11-15,2016-11-18
70,Social Platform v2 with Meteor.js,software_development,medium,2017-01-01,2017-09-01,cancelled,2016-12-25,2016-12-28
71,AI Support with IBM Watson,ai_ml_project,high,2017-02-15,2017-12-15,success,2017-02-10,2017-02-12
72,Mobile Health v3 with Ionic Framework,software_development,medium,2017-04-01,2018-02-01,delayed,2017-03-25,2017-03-28
73,IoT Data Hub with Google Cloud IoT,iot_implementation,high,2017-05-20,2018-03-20,success,2017-05-15,2017-05-18
74,Microservices Migration with Istio,infrastructure_improvements,medium,2017-07-01,2018-05-01,partial,2017-06-25,2017-06-28
75,Customer Behavior Analytics with Mixpanel,data_analytics,medium,2017-08-15,2018-06-15,success,2017-08-10,2017-08-12
76,AI Assistant v3 with Amazon Lex,ai_ml_project,medium,2015-03-15,2015-11-15,failed,2015-03-10,2015-03-12
77,CI/CD v3 with CircleCI,infrastructure_improvements,high,2015-05-01,2016-01-01,delayed,2015-04-25,2015-04-28
78,Customer Portal v3 with Ember.js,software_development,medium,2015-06-20,2016-02-20,success,2015-06-15,2015-06-18
79,Security v3 with Cloudflare WAF,security_compliance,medium,2015-08-01,2016-04-01,success,2015-07-25,2015-07-28
80,Social Tool v3 with Backbone.js,software_development,medium,2015-09-20,2016-05-20,cancelled,2015-09-15,2015-09-18
81,API Gateway with Kong,infrastructure_improvements,high,2015-11-01,2016-07-01,success,2015-10-25,2015-10-28
82,Mobile App with Xamarin,software_development,medium,2015-12-15,2016-08-15,delayed,2015-12-10,2015-12-12
83,Data Lake with Hadoop,data_analytics,high,2016-01-01,2016-11-01,success,2015-12-25,2015-12-28
84,Monitoring with Prometheus,infrastructure_improvements,medium,2016-02-20,2016-10-20,partial,2016-02-15,2016-02-18
85,Log Analysis with ELK Stack,data_analytics,medium,2016-04-01,2017-02-01,success,2016-03-25,2016-03-28
86,Mobile Game with Unity,software_development,medium,2016-05-15,2017-01-15,failed,2016-05-10,2016-05-12
87,Service Mesh with Linkerd,infrastructure_improvements,high,2016-07-01,2017-05-01,delayed,2016-06-25,2016-06-28
88,E-commerce with Magento,software_development,medium,2016-08-20,2017-06-20,success,2016-08-15,2016-08-18
89,Backup with Veeam,infrastructure_improvements,medium,2016-10-01,2017-06-01,success,2016-09-25,2016-09-28
90,CRM with HubSpot,crm_implementation,medium,2016-11-15,2017-09-15,cancelled,2016-11-10,2016-11-12
91,Database Migration to PostgreSQL,infrastructure_improvements,high,2017-01-01,2017-09-01,success,2016-12-25,2016-12-28
92,Mobile App with NativeScript,software_development,medium,2017-02-15,2017-10-15,delayed,2017-02-10,2017-02-12
93,Big Data with Apache Beam,data_analytics,high,2017-04-01,2018-02-01,success,2017-03-25,2017-03-28
94,Serverless with AWS Lambda,infrastructure_improvements,medium,2017-05-20,2018-01-20,partial,2017-05-15,2017-05-18
95,Analytics with Apache Druid,data_analytics,medium,2017-07-01,2018-05-01,success,2017-06-25,2017-06-28
96,Mobile Payment with Stripe,software_development,medium,2017-08-15,2018-04-15,failed,2017-08-10,2017-08-12
97,CI/CD v4 with Azure Pipelines,infrastructure_improvements,high,2017-10-01,2018-08-01,delayed,2017-09-25,2017-09-28
98,Web App with Svelte,software_development,medium,2017-11-20,2018-09-20,success,2017-11-15,2017-11-18
99,Security v4 with Prisma Cloud,security_compliance,medium,2017-12-15,2018-08-15,success,2017-12-10,2017-12-12
100,Blockchain POC with Ethereum,blockchain_project,high,2017-12-20,2018-10-20,cancelled,2017-12-15,2017-12-
101,AI-Powered Supply Chain Optimization,ai_ml_project,high,2018-01-15,2019-04-15,success,2018-01-10,2018-01-12
102,Cloud-Native Microservices Platform,software_development,high,2018-02-01,2019-02-01,delayed,2018-01-25,2018-01-28
103,Blockchain Digital Identity System,blockchain_project,high,2018-03-10,2019-03-10,partial,2018-03-05,2018-03-08
104,Mobile Banking with Biometric Auth,software_development,medium,2018-04-01,2019-01-01,success,2018-03-25,2018-03-28
105,Real-time Fraud Detection System,ai_ml_project,high,2018-05-15,2019-05-15,success,2018-05-10,2018-05-12
106,IoT Smart Factory Implementation,iot_implementation,high,2018-06-01,2019-08-01,failed,2018-05-25,2018-05-28
107,Serverless E-commerce Platform,software_development,medium,2018-07-10,2019-04-10,delayed,2018-07-05,2018-07-08
108,Data Lake Modernization,data_analytics,high,2018-08-01,2019-08-01,success,2018-07-25,2018-07-28
109,Zero Trust Security Implementation,security_compliance,high,2018-09-15,2019-09-15,success,2018-09-10,2018-09-12
110,VR Training Simulation Platform,software_development,medium,2018-10-01,2019-07-01,cancelled,2018-09-25,2018-09-28
111,AI-Based Customer Churn Prediction,ai_ml_project,medium,2018-11-10,2019-08-10,success,2018-11-05,2018-11-08
112,Multi-cloud Strategy Implementation,infrastructure_improvements,high,2018-12-01,2019-12-01,delayed,2018-11-25,2018-11-28
113,Edge Computing for Retail Analytics,iot_implementation,medium,2019-01-15,2019-10-15,success,2019-01-10,2019-01-12
114,Digital Twin for Manufacturing,software_development,high,2019-02-01,2020-02-01,partial,2019-01-25,2019-01-28
115,API Economy Platform,software_development,medium,2019-03-10,2019-12-10,success,2019-03-05,2019-03-08
116,Quantum Computing Research,research_development,high,2019-04-01,2020-04-01,failed,2019-03-25,2019-03-28
117,5G Network Readiness,infrastructure_improvements,high,2019-05-15,2020-03-15,delayed,2019-05-10,2019-05-12
118,AI-Powered Content Recommendation,ai_ml_project,medium,2019-06-01,2020-02-01,success,2019-05-25,2019-05-28
119,Blockchain Supply Chain Tracking,blockchain_project,high,2019-07-10,2020-05-10,success,2019-07-05,2019-07-08
120,Cloud Cost Optimization Platform,software_development,medium,2019-08-01,2020-04-01,cancelled,2019-07-25,2019-07-28
121,Machine Learning Operations Platform,ai_ml_project,high,2019-09-15,2020-06-15,success,2019-09-10,2019-09-12
122,DevSecOps Implementation,security_compliance,medium,2019-10-01,2020-06-01,delayed,2019-09-25,2019-09-28
123,IoT Predictive Maintenance,iot_implementation,medium,2019-11-10,2020-07-10,success,2019-11-05,2019-11-08
124,Data Mesh Architecture,data_analytics,high,2019-12-01,2020-09-01,partial,2019-11-25,2019-11-28
125,AI Ethics and Governance,ai_ml_project,medium,2018-01-20,2018-10-20,success,2018-01-15,2018-01-18
126,Cloud Migration Assessment,infrastructure_improvements,medium,2018-02-15,2018-11-15,delayed,2018-02-10,2018-02-12
127,Digital Workplace Transformation,software_development,high,2018-03-20,2019-01-20,success,2018-03-15,2018-03-18
128,Blockchain Smart Contracts,blockchain_project,medium,2018-04-25,2019-01-25,partial,2018-04-20,2018-04-23
129,AI-Powered Document Processing,ai_ml_project,medium,2018-05-30,2019-02-28,success,2018-05-25,2018-05-28
130,IoT Environmental Monitoring,iot_implementation,medium,2018-07-05,2019-04-05,failed,2018-06-30,2018-07-03
131,Microfrontends Architecture,software_development,medium,2018-08-10,2019-05-10,delayed,2018-08-05,2018-08-08
132,Data Quality Management Platform,data_analytics,medium,2018-09-15,2019-06-15,success,2018-09-10,2018-09-12
133,Cloud Security Posture Management,security_compliance,high,2018-10-20,2019-07-20,success,2018-10-15,2018-10-18
134,AR Shopping Experience,software_development,medium,2018-11-25,2019-08-25,cancelled,2018-11-20,2018-11-23
135,AI-Based Recruitment System,ai_ml_project,medium,2018-12-30,2019-09-30,success,2018-12-25,2018-12-28
136,Hybrid Cloud Management,infrastructure_improvements,high,2019-01-05,2019-10-05,delayed,2019-01-01,2019-01-04
137,Blockchain Digital Assets,blockchain_project,high,2019-02-10,2020-01-10,partial,2019-02-05,2019-02-08
138,Edge AI for Quality Control,ai_ml_project,medium,2019-03-15,2019-12-15,success,2019-03-10,2019-03-12
139,IoT Fleet Management System,iot_implementation,medium,2019-04-20,2020-01-20,failed,2019-04-15,2019-04-18
140,Progressive Web App Platform,software_development,medium,2019-05-25,2020-02-25,delayed,2019-05-20,2019-05-23
141,Real-time Data Streaming,data_analytics,high,2019-06-30,2020-03-30,success,2019-06-25,2019-06-28
142,Cloud-Native Security,security_compliance,medium,2019-08-05,2020-04-05,success,2019-07-31,2019-08-03
143,AI-Powered Chatbot Platform,ai_ml_project,medium,2019-09-10,2020-05-10,cancelled,2019-09-05,2019-09-08
144,Blockchain Cross-border Payments,blockchain_project,high,2019-10-15,2020-07-15,success,2019-10-10,2019-10-12
145,IoT Smart Agriculture,iot_implementation,medium,2019-11-20,2020-08-20,partial,2019-11-15,2019-11-18
146,Low-Code Development Platform,software_development,medium,2019-12-25,2020-09-25,success,2019-12-20,2019-12-23
147,Data Privacy Compliance,data_governance,high,2018-01-25,2018-10-25,success,2018-01-20,2018-01-23
148,Cloud Financial Operations,infrastructure_improvements,medium,2018-02-28,2018-11-28,delayed,2018-02-23,2018-02-26
149,AI-Powered Market Analysis,ai_ml_project,medium,2018-04-05,2019-01-05,success,2018-03-31,2018-04-03
150,Blockchain Voting System,blockchain_project,high,2018-05-10,2019-02-10,partial,2018-05-05,2018-05-08
151,IoT Smart City Infrastructure,iot_implementation,high,2018-06-15,2019-03-15,failed,2018-06-10,2018-06-13
152,Headless CMS Implementation,software_development,medium,2018-07-20,2019-04-20,delayed,2018-07-15,2018-07-18
153,Predictive Analytics Platform,data_analytics,medium,2018-08-25,2019-05-25,success,2018-08-20,2018-08-23
154,Identity and Access Management,security_compliance,high,2018-09-30,2019-06-30,success,2018-09-25,2018-09-28
155,AI-Powered Personalization,ai_ml_project,medium,2018-11-05,2019-08-05,cancelled,2018-10-31,2018-11-03
156,Multi-tenant SaaS Platform,software_development,high,2018-12-10,2019-09-10,success,2018-12-05,2018-12-08
157,Cloud Disaster Recovery,infrastructure_improvements,medium,2019-01-15,2019-10-15,delayed,2019-01-10,2019-01-13
158,Blockchain Digital Certificates,blockchain_project,medium,2019-02-20,2019-11-20,partial,2019-02-15,2019-02-18
159,Edge Computing for Healthcare,iot_implementation,high,2019-03-25,2020-02-25,success,2019-03-20,2019-03-23
160,Microservices Monitoring,software_development,medium,2019-04-30,2020-01-30,failed,2019-04-25,2019-04-28
161,Data Catalog and Discovery,data_analytics,medium,2019-06-05,2020-03-05,delayed,2019-05-31,2019-06-03
162,Cloud Workload Protection,security_compliance,medium,2019-07-10,2020-04-10,success,2019-07-05,2019-07-08
163,AI-Powered Voice Assistant,ai_ml_project,medium,2019-08-15,2020-05-15,success,2019-08-10,2019-08-12
164,Blockchain Royalty Management,blockchain_project,medium,2019-09-20,2020-06-20,cancelled,2019-09-15,2019-09-18
165,IoT Energy Management,iot_implementation,medium,2019-10-25,2020-07-25,partial,2019-10-20,2019-10-23
166,Jamstack E-commerce,software_development,medium,2019-11-30,2020-08-30,success,2019-11-25,2019-11-28
167,Data Lineage and Provenance,data_governance,high,2018-02-05,2018-11-05,success,2018-01-31,2018-02-03
168,Cloud Network Optimization,infrastructure_improvements,medium,2018-03-12,2018-12-12,delayed,2018-03-07,2018-03-10
169,AI-Powered Risk Assessment,ai_ml_project,medium,2018-04-18,2019-01-18,success,2018-04-13,2018-04-16
170,Blockchain Carbon Credits,blockchain_project,high,2018-05-23,2019-02-23,partial,2018-05-18,2018-05-21
171,IoT Water Quality Monitoring,iot_implementation,medium,2018-06-28,2019-03-28,failed,2018-06-23,2018-06-26
172,Server-Side Rendering Platform,software_development,medium,2018-08-03,2019-05-03,delayed,2018-07-29,2018-08-01
173,Real-time Business Intelligence,data_analytics,medium,2018-09-08,2019-06-08,success,2018-09-03,2018-09-06
174,Zero-Day Vulnerability Management,security_compliance,high,2018-10-13,2019-07-13,success,2018-10-08,2018-10-11
175,AI-Powered Code Review,ai_ml_project,medium,2018-11-18,2019-08-18,cancelled,2018-11-13,2018-11-16
176,Cloud-Native Database,software_development,high,2018-12-23,2019-09-23,success,2018-12-18,2018-12-21
177,Hybrid Multi-cloud Networking,infrastructure_improvements,medium,2019-01-28,2019-10-28,delayed,2019-01-23,2019-01-26
178,Blockchain Intellectual Property,blockchain_project,medium,2019-03-05,2019-12-05,partial,2019-02-28,2019-03-03
179,Edge AI for Retail,iot_implementation,high,2019-04-10,2020-03-10,success,2019-04-05,2019-04-08
180,GraphQL API Gateway,software_development,medium,2019-05-15,2020-02-15,failed,2019-05-10,2019-05-13
181,Data Anonymization Platform,data_analytics,medium,2019-06-20,2020-03-20,delayed,2019-06-15,2019-06-18
182,Cloud Security Automation,security_compliance,medium,2019-07-25,2020-04-25,success,2019-07-20,2019-07-23
183,AI-Powered Image Recognition,ai_ml_project,medium,2019-08-30,2020-05-30,success,2019-08-25,2019-08-28
184,Blockchain Medical Records,blockchain_project,high,2019-10-05,2020-07-05,cancelled,2019-09-30,2019-10-03
185,IoT Predictive Analytics,iot_implementation,medium,2019-11-10,2020-08-10,partial,2019-11-05,2019-11-08
186,WebAssembly Applications,software_development,medium,2019-12-15,2020-09-15,success,2019-12-10,2019-12-13
187,Data Ethics Framework,data_governance,high,2018-02-15,2018-11-15,success,2018-02-10,2018-02-13
188,Cloud Cost Analytics,infrastructure_improvements,medium,2018-03-22,2018-12-22,delayed,2018-03-17,2018-03-20
189,AI-Powered Sentiment Analysis,ai_ml_project,medium,2018-04-27,2019-01-27,success,2018-04-22,2018-04-25
190,Blockchain Real Estate,blockchain_project,high,2018-06-02,2019-03-02,partial,2018-05-28,2018-05-31
191,IoT Smart Logistics,iot_implementation,medium,2018-07-07,2019-04-07,failed,2018-07-02,2018-07-05
192,Progressive Web App E-commerce,software_development,medium,2018-08-12,2019-05-12,delayed,2018-08-07,2018-08-10
193,Real-time Customer 360,data_analytics,medium,2018-09-17,2019-06-17,success,2018-09-12,2018-09-15
194,Cloud Security Assessment,security_compliance,high,2018-10-22,2019-07-22,success,2018-10-17,2018-10-20
195,AI-Powered Translation Service,ai_ml_project,medium,2018-11-27,2019-08-27,cancelled,2018-11-22,2018-11-25
196,Event-Driven Architecture,software_development,high,2018-12-02,2019-09-02,success,2018-11-27,2018-11-30
197,Multi-cloud Load Balancing,infrastructure_improvements,medium,2019-01-07,2019-10-07,delayed,2019-01-02,2019-01-05
198,Blockchain Digital Identity v2,blockchain_project,medium,2019-02-12,2019-11-12,partial,2019-02-07,2019-02-10
199,Edge Computing for Automotive,iot_implementation,high,2019-03-19,2020-02-19,success,2019-03-14,2019-03-17
200,Serverless Microservices,software_development,medium,2019-04-24,2020-01-24,failed,2019-04-19,2019-04-22
201,AI-Powered Pandemic Response System,ai_ml_project,high,2020-01-15,2021-03-15,success,2020-01-10,2020-01-12
202,Remote Work Infrastructure Scaling,infrastructure_improvements,high,2020-02-01,2021-01-01,delayed,2020-01-25,2020-01-28
203,Contact Tracing Mobile App,software_development,high,2020-03-10,2020-09-10,success,2020-03-05,2020-03-08
204,Digital Healthcare Platform,software_development,high,2020-04-01,2021-06-01,partial,2020-03-25,2020-03-28
205,Supply Chain Resilience System,ai_ml_project,high,2020-05-15,2021-05-15,success,2020-05-10,2020-05-12
206,E-learning Platform Expansion,software_development,medium,2020-06-01,2021-04-01,failed,2020-05-25,2020-05-28
207,Cloud Cost Optimization Post-COVID,infrastructure_improvements,medium,2020-07-10,2021-02-10,delayed,2020-07-05,2020-07-08
208,AI-Based Drug Discovery Platform,ai_ml_project,high,2020-08-01,2021-12-01,success,2020-07-25,2020-07-28
209,Zero Trust Remote Access,security_compliance,high,2020-09-15,2021-05-15,success,2020-09-10,2020-09-12
210,Digital Government Services,software_development,high,2020-10-01,2021-10-01,cancelled,2020-09-25,2020-09-28
211,AI-Powered Vaccine Distribution,ai_ml_project,high,2020-11-10,2021-08-10,success,2020-11-05,2020-11-08
212,Hybrid Work Collaboration Platform,software_development,medium,2020-12-01,2021-08-01,delayed,2020-11-25,2020-11-28
213,Edge Computing for Telemedicine,iot_implementation,medium,2021-01-15,2021-10-15,success,2021-01-10,2021-01-12
214,Blockchain Vaccine Passport,blockchain_project,high,2021-02-01,2021-12-01,partial,2021-01-25,2021-01-28
215,API-First Business Strategy,software_development,medium,2021-03-10,2021-11-10,success,2021-03-05,2021-03-08
216,Quantum Machine Learning Research,research_development,high,2021-04-01,2022-06-01,failed,2021-03-25,2021-03-28
217,5G Enterprise Deployment,infrastructure_improvements,high,2021-05-15,2022-03-15,delayed,2021-05-10,2021-05-12
218,AI-Powered Mental Health Platform,ai_ml_project,medium,2021-06-01,2022-02-01,success,2021-05-25,2021-05-28
219,Blockchain Supply Chain Finance,blockchain_project,high,2021-07-10,2022-05-10,success,2021-07-05,2021-07-08
220,Sustainable Cloud Computing,infrastructure_improvements,medium,2021-08-01,2022-04-01,cancelled,2021-07-25,2021-07-28
221,Federated Learning Platform,ai_ml_project,high,2021-09-15,2022-06-15,success,2021-09-10,2021-09-12
222,DevSecOps Automation,security_compliance,medium,2021-10-01,2022-06-01,delayed,2021-09-25,2021-09-28
223,IoT for Smart Healthcare,iot_implementation,medium,2021-11-10,2022-07-10,success,2021-11-05,2021-11-08
224,Data Mesh Implementation,data_analytics,high,2021-12-01,2022-09-01,partial,2021-11-25,2021-11-28
225,AI Ethics Compliance Platform,ai_ml_project,medium,2020-01-20,2020-10-20,success,2020-01-15,2020-01-18
226,Cloud Migration Acceleration,infrastructure_improvements,medium,2020-02-15,2020-11-15,delayed,2020-02-10,2020-02-12
227,Digital Banking Transformation,software_development,high,2020-03-20,2021-01-20,success,2020-03-15,2020-03-18
228,DeFi Platform Development,blockchain_project,high,2020-04-25,2021-01-25,partial,2020-04-20,2020-04-23
229,AI-Powered Clinical Trials,ai_ml_project,high,2020-05-30,2021-02-28,success,2020-05-25,2020-05-28
230,IoT for Remote Monitoring,iot_implementation,medium,2020-07-05,2021-04-05,failed,2020-06-30,2020-07-03
231,Microservices Modernization,software_development,medium,2020-08-10,2021-05-10,delayed,2020-08-05,2020-08-08
232,Real-time Supply Chain Analytics,data_analytics,medium,2020-09-15,2021-06-15,success,2020-09-10,2020-09-12
233,Cloud Security Posture Management,security_compliance,high,2020-10-20,2021-07-20,success,2020-10-15,2020-10-18
234,AR Remote Assistance,software_development,medium,2020-11-25,2021-08-25,cancelled,2020-11-20,2020-11-23
235,AI-Powered Customer Service,ai_ml_project,medium,2020-12-30,2021-09-30,success,2020-12-25,2020-12-28
236,Multi-cloud Data Governance,infrastructure_improvements,high,2021-01-05,2021-10-05,delayed,2021-01-01,2021-01-04
237,NFT Marketplace Platform,blockchain_project,high,2021-02-10,2022-01-10,partial,2021-02-05,2021-02-08
238,Edge AI for Manufacturing,ai_ml_project,medium,2021-03-15,2021-12-15,success,2021-03-10,2021-03-12
239,IoT Predictive Maintenance,iot_implementation,medium,2021-04-20,2022-01-20,failed,2021-04-15,2021-04-18
240,Serverless Data Pipeline,software_development,medium,2021-05-25,2022-02-25,delayed,2021-05-20,2021-05-23
241,Real-time Risk Analytics,data_analytics,high,2021-06-30,2022-03-30,success,2021-06-25,2021-06-28
242,Zero Trust Architecture,security_compliance,medium,2021-08-05,2022-04-05,success,2021-07-31,2021-08-03
243,AI-Powered Content Generation,ai_ml_project,medium,2021-09-10,2022-05-10,cancelled,2021-09-05,2021-09-08
244,Blockchain Identity Management,blockchain_project,high,2021-10-15,2022-07-15,success,2021-10-10,2021-10-12
245,IoT Smart Agriculture,iot_implementation,medium,2021-11-20,2022-08-20,partial,2021-11-15,2021-11-18
246,Low-code Business Apps,software_development,medium,2021-12-25,2022-09-25,success,2021-12-20,2021-12-23
247,Data Privacy Automation,data_governance,high,2020-01-25,2020-10-25,success,2020-01-20,2020-01-23
248,Cloud Financial Management,infrastructure_improvements,medium,2020-02-28,2020-11-28,delayed,2020-02-23,2020-02-26
249,AI-Powered Market Research,ai_ml_project,medium,2020-04-05,2021-01-05,success,2020-03-31,2020-04-03
250,Blockchain Voting System,blockchain_project,high,2020-05-10,2021-02-10,partial,2020-05-05,2020-05-08
251,IoT Smart City Platform,iot_implementation,high,2020-06-15,2021-03-15,failed,2020-06-10,2020-06-13
252,Headless Commerce Platform,software_development,medium,2020-07-20,2021-04-20,delayed,2020-07-15,2020-07-18
253,Predictive Maintenance AI,data_analytics,medium,2020-08-25,2021-05-25,success,2020-08-20,2020-08-23
