id,project_id,sdlc_method_id,duration_months,total_development_cost,additional_costs,status,created_at,last_updated_at
117,117,8,10,3500000000,280000000,archived,5/10/2019,5/12/2019
118,118,3,8,1400000000,115000000,archived,5/25/2019,5/28/2019
119,119,2,10,3900000000,310000000,archived,7/5/2019,7/8/2019
120,120,1,8,1250000000,100000000,archived,7/25/2019,7/28/2019
121,121,6,9,3600000000,290000000,archived,9/10/2019,9/12/2019
122,122,8,8,1550000000,125000000,archived,9/25/2019,9/28/2019
123,123,4,8,1350000000,110000000,archived,11/5/2019,11/8/2019
124,124,7,9,3200000000,260000000,archived,11/25/2019,11/28/2019
125,125,3,9,1150000000,90000000,archived,1/15/2018,1/18/2018
126,126,4,9,1050000000,85000000,archived,2/10/2018,2/12/2018
127,127,2,10,3400000000,270000000,archived,3/15/2018,3/18/2018
128,128,3,9,1450000000,115000000,archived,4/20/2018,4/23/2018
129,129,1,9,1200000000,95000000,archived,5/25/2018,5/28/2018
130,130,4,9,1100000000,90000000,archived,6/30/2018,7/3/2018
131,131,3,9,1250000000,100000000,archived,8/5/2018,8/8/2018
132,132,1,9,1180000000,95000000,archived,9/10/2018,9/12/2018
133,133,8,9,3100000000,250000000,archived,10/15/2018,10/18/2018
134,134,9,9,1280000000,105000000,archived,11/20/2018,11/23/2018
135,135,3,9,1350000000,110000000,archived,12/25/2018,12/28/2018
136,136,4,9,1650000000,130000000,archived,1/1/2019,1/4/2019
137,137,7,11,3800000000,300000000,archived,2/5/2019,2/8/2019
138,138,4,9,1400000000,115000000,archived,3/10/2019,3/12/2019
139,139,4,9,1250000000,100000000,archived,4/15/2019,4/18/2019
140,140,3,9,1450000000,120000000,archived,5/20/2019,5/23/2019
141,141,6,9,3350000000,270000000,archived,6/25/2019,6/28/2019
142,142,8,8,1550000000,125000000,archived,7/31/2019,8/3/2019
143,143,9,8,1180000000,95000000,archived,9/5/2019,9/8/2019
144,144,2,9,3700000000,300000000,archived,10/10/2019,10/12/2019
145,145,4,9,1480000000,120000000,archived,11/15/2019,11/18/2019
146,146,1,9,1320000000,105000000,archived,12/20/2019,12/23/2019
147,147,8,9,2900000000,230000000,archived,1/20/2018,1/23/2018
148,148,4,9,1120000000,90000000,archived,2/23/2018,2/26/2018
149,149,3,9,1280000000,105000000,archived,3/31/2018,4/3/2018
150,150,7,9,3600000000,290000000,archived,5/5/2018,5/8/2018
151,151,2,9,4000000000,320000000,archived,6/10/2018,6/13/2018
152,152,3,9,1380000000,110000000,archived,7/15/2018,7/18/2018
153,153,1,9,1420000000,115000000,archived,8/20/2018,8/23/2018
154,154,8,9,3250000000,260000000,archived,9/25/2018,9/28/2018
155,155,9,9,1220000000,100000000,archived,10/31/2018,11/3/2018
156,156,6,9,3450000000,280000000,archived,12/5/2018,12/8/2018
157,157,4,9,1520000000,120000000,archived,1/10/2019,1/13/2019
158,158,3,9,1350000000,110000000,archived,2/15/2019,2/18/2019
159,159,2,11,3900000000,310000000,archived,3/20/2019,3/23/2019
160,160,3,9,1280000000,105000000,archived,4/25/2019,4/28/2019
161,161,4,9,1450000000,115000000,archived,5/31/2019,6/3/2019
162,162,8,9,1620000000,130000000,archived,7/5/2019,7/8/2019
163,163,3,9,1480000000,120000000,archived,8/10/2019,8/12/2019
164,164,9,9,1320000000,105000000,archived,9/15/2019,9/18/2019
165,165,4,9,1420000000,115000000,archived,10/20/2019,10/23/2019
166,166,1,9,1380000000,110000000,archived,11/25/2019,11/28/2019
167,167,8,9,2800000000,220000000,archived,1/31/2018,2/3/2018
168,168,4,9,1180000000,95000000,archived,3/7/2018,3/10/2018
169,169,3,9,1350000000,110000000,archived,4/13/2018,4/16/2018
170,170,7,9,3750000000,300000000,archived,5/18/2018,5/21/2018
171,171,4,9,1250000000,100000000,archived,6/23/2018,6/26/2018
172,172,3,9,1480000000,120000000,archived,7/29/2018,8/1/2018
173,173,1,9,1550000000,125000000,archived,9/3/2018,9/6/2018
174,174,8,9,3400000000,270000000,archived,10/8/2018,10/11/2018
175,175,9,9,1280000000,105000000,archived,11/13/2018,11/16/2018
176,176,6,9,3550000000,285000000,archived,12/18/2018,12/21/2018
177,177,4,9,1580000000,125000000,archived,1/23/2019,1/26/2019
178,178,3,9,1420000000,115000000,archived,2/28/2019,3/3/2019
179,179,2,11,3850000000,310000000,archived,4/5/2019,4/8/2019
180,180,3,9,1350000000,110000000,archived,5/10/2019,5/13/2019
181,181,4,9,1520000000,120000000,archived,6/15/2019,6/18/2019
182,182,8,9,1680000000,135000000,archived,7/20/2019,7/23/2019
183,183,3,9,1550000000,125000000,archived,8/25/2019,8/28/2019
184,184,9,9,1450000000,115000000,archived,9/30/2019,10/3/2019
185,185,4,9,1480000000,120000000,archived,11/5/2019,11/8/2019
186,186,1,9,1420000000,115000000,archived,12/10/2019,12/13/2019
187,187,8,9,2950000000,235000000,archived,2/10/2018,2/13/2018
188,188,4,9,1220000000,100000000,archived,3/17/2018,3/20/2018
189,189,3,9,1380000000,110000000,archived,4/22/2018,4/25/2018
190,190,7,9,3650000000,290000000,archived,5/28/2018,5/31/2018
191,191,4,9,1320000000,105000000,archived,7/2/2018,7/5/2018
192,192,3,9,1520000000,120000000,archived,8/7/2018,8/10/2018
193,193,1,9,1580000000,125000000,archived,9/12/2018,9/15/2018
194,194,8,9,3450000000,275000000,archived,10/17/2018,10/20/2018
195,195,9,9,1350000000,110000000,archived,11/22/2018,11/25/2018
196,196,6,9,3600000000,290000000,archived,11/27/2018,11/30/2018
197,197,4,9,1620000000,130000000,archived,1/2/2019,1/5/2019
198,198,3,9,1480000000,120000000,archived,2/7/2019,2/10/2019
199,199,2,11,3950000000,315000000,archived,3/14/2019,3/17/2019
200,200,3,9,1420000000,115000000,archived,4/19/2019,4/22/2019
201,201,6,15,4500000000,350000000,completed,1/10/2020,3/15/2021
202,202,2,11,2800000000,220000000,completed,1/25/2020,1/1/2021
203,203,1,6,1800000000,150000000,completed,3/5/2020,9/10/2020
204,204,3,14,3800000000,300000000,active,3/25/2020,6/1/2021
205,205,6,12,5200000000,400000000,completed,5/10/2020,5/15/2021
206,206,4,10,3200000000,250000000,cancelled,5/25/2020,4/1/2021
207,207,2,7,2200000000,180000000,active,7/5/2020,2/10/2021
208,208,6,16,6800000000,550000000,completed,7/25/2020,12/1/2021
209,209,8,8,2900000000,230000000,completed,9/10/2020,5/15/2021
210,210,3,12,4800000000,380000000,cancelled,9/25/2020,10/1/2021
211,211,1,9,5800000000,470000000,completed,11/5/2020,8/10/2021
212,212,4,8,3400000000,270000000,active,11/25/2020,8/1/2021
213,213,6,9,2600000000,210000000,completed,1/10/2021,10/15/2021
214,214,8,10,4200000000,330000000,active,1/25/2021,12/1/2021
215,215,3,8,2000000000,160000000,completed,3/5/2021,11/10/2021
216,216,7,14,7500000000,600000000,cancelled,3/25/2021,6/1/2022
217,217,2,10,5000000000,400000000,active,5/10/2021,3/15/2022
218,218,1,8,2800000000,220000000,completed,5/25/2021,2/1/2022
219,219,8,10,5300000000,420000000,completed,7/5/2021,5/10/2022
220,220,6,8,2400000000,190000000,cancelled,7/25/2021,4/1/2022
221,221,6,9,5900000000,480000000,completed,9/10/2021,6/15/2022
222,222,8,8,2700000000,210000000,active,9/25/2021,6/1/2022
223,223,6,8,3100000000,250000000,completed,11/5/2021,7/10/2022
224,224,3,9,4400000000,350000000,active,11/25/2021,9/1/2022
225,225,1,9,2200000000,180000000,completed,1/15/2020,10/20/2020
226,226,2,9,1900000000,150000000,active,2/10/2020,11/15/2020
227,227,3,10,4100000000,320000000,completed,3/15/2020,1/20/2021
228,228,8,9,3600000000,290000000,active,4/20/2020,1/25/2021
229,229,6,9,4700000000,380000000,completed,5/25/2020,2/28/2021
230,230,4,9,1800000000,140000000,cancelled,6/30/2020,4/5/2021
231,231,4,9,2300000000,180000000,active,8/5/2020,5/10/2021
232,232,3,9,2500000000,200000000,completed,9/10/2020,6/15/2021
233,233,8,9,3300000000,260000000,completed,10/15/2020,7/20/2021
234,234,1,9,2000000000,160000000,cancelled,11/20/2020,8/25/2021
235,235,1,9,2400000000,190000000,completed,12/25/2020,9/30/2021
236,236,2,9,3500000000,280000000,active,1/1/2021,10/5/2021
237,237,8,11,3900000000,310000000,active,2/5/2021,1/10/2022
238,238,6,9,2600000000,210000000,completed,3/10/2021,12/15/2021
239,239,4,9,1900000000,150000000,cancelled,4/15/2021,1/20/2022
240,240,4,9,2100000000,170000000,active,5/20/2021,2/25/2022
241,241,3,9,3700000000,290000000,completed,6/25/2021,3/30/2022
242,242,8,8,2200000000,180000000,completed,7/31/2021,4/5/2022
243,243,1,8,1800000000,140000000,cancelled,9/5/2021,5/10/2022
244,244,8,9,4500000000,360000000,completed,10/10/2021,7/15/2022
245,245,4,9,2300000000,180000000,active,11/15/2021,8/20/2022
246,246,1,9,2700000000,210000000,completed,12/20/2021,9/25/2022
247,247,8,9,2900000000,230000000,completed,1/20/2020,10/25/2020
248,248,2,9,1600000000,130000000,active,2/23/2020,11/28/2020
249,249,1,9,2500000000,200000000,completed,3/31/2020,1/5/2021
250,250,8,9,3400000000,270000000,active,5/5/2020,2/10/2021
251,251,6,9,4800000000,380000000,cancelled,6/10/2020,3/15/2021
252,252,4,9,2100000000,170000000,active,7/15/2020,4/20/2021
253,253,3,9,2300000000,180000000,completed,8/20/2020,5/25/2021
254,254,8,9,3500000000,280000000,completed,9/25/2020,6/30/2021
255,255,1,9,1900000000,150000000,cancelled,10/31/2020,8/5/2021
256,256,3,9,4600000000,370000000,completed,12/5/2020,9/10/2021
257,257,2,9,1800000000,140000000,active,1/10/2021,10/15/2021
258,258,8,9,2800000000,220000000,active,2/15/2021,11/20/2021
259,259,6,11,4200000000,330000000,completed,3/20/2021,2/25/2022
260,260,4,9,2000000000,160000000,cancelled,4/25/2021,1/30/2022
261,261,3,9,2400000000,190000000,active,5/31/2021,3/5/2022
262,262,8,9,2100000000,170000000,completed,7/5/2021,4/10/2022
263,263,1,9,2600000000,210000000,completed,8/10/2021,5/15/2022
264,264,8,9,1900000000,150000000,cancelled,9/15/2021,6/20/2022
265,265,4,9,2200000000,180000000,active,10/20/2021,7/25/2022
266,266,1,9,2500000000,200000000,completed,11/25/2021,8/30/2022
267,267,8,9,3000000000,240000000,completed,1/31/2020,11/5/2020
268,268,2,9,1700000000,130000000,active,3/7/2020,12/12/2020
269,269,1,9,2700000000,210000000,completed,4/13/2020,1/18/2021
270,270,8,9,3800000000,300000000,active,5/18/2020,2/23/2021
271,271,4,9,1600000000,130000000,cancelled,6/23/2020,3/28/2021
272,272,4,9,2000000000,160000000,active,7/29/2020,5/3/2021
273,273,3,9,2400000000,190000000,completed,9/3/2020,6/8/2021
274,274,8,9,3600000000,290000000,completed,10/8/2020,7/13/2021
275,275,1,9,1800000000,140000000,cancelled,11/13/2020,8/18/2021
276,276,3,9,4900000000,390000000,completed,12/18/2020,9/23/2021
277,277,2,9,1900000000,150000000,active,1/23/2021,10/28/2021
278,278,8,9,2900000000,230000000,active,2/28/2021,12/5/2021
279,279,6,11,4300000000,340000000,completed,4/5/2021,3/10/2022
280,280,4,9,2100000000,170000000,cancelled,5/10/2021,2/15/2022
281,281,3,9,2500000000,200000000,active,6/15/2021,3/20/2022
282,282,8,9,2200000000,180000000,completed,7/20/2021,4/25/2022
283,283,1,9,2800000000,220000000,completed,8/25/2021,5/30/2022
284,284,8,9,4700000000,380000000,cancelled,9/30/2021,7/5/2022
285,285,4,9,2300000000,180000000,active,11/5/2021,8/10/2022
286,286,1,9,2600000000,210000000,completed,12/10/2021,9/15/2022
287,287,8,9,3200000000,250000000,completed,2/10/2020,11/15/2020
288,288,2,9,1800000000,140000000,active,3/17/2020,12/22/2020
289,289,1,9,2900000000,230000000,completed,4/22/2020,1/27/2021
290,290,8,9,4000000000,320000000,active,5/28/2020,3/2/2021
291,291,4,9,1700000000,130000000,cancelled,7/2/2020,4/7/2021
292,292,4,9,2100000000,170000000,active,8/7/2020,5/12/2021
293,293,3,9,2500000000,200000000,completed,9/12/2020,6/17/2021
294,294,8,9,3700000000,290000000,completed,10/17/2020,7/22/2021
295,295,1,9,1900000000,150000000,cancelled,11/22/2020,8/27/2021
296,296,3,9,5000000000,400000000,completed,11/27/2020,9/2/2021
297,297,2,9,2000000000,160000000,active,1/2/2021,10/7/2021
298,298,8,9,3000000000,240000000,active,2/7/2021,11/12/2021
299,299,6,11,4400000000,350000000,completed,3/14/2021,2/19/2022
300,300,4,9,2200000000,180000000,cancelled,4/19/2021,1/24/2022
301,301,6,11,3850000000,320000000,active,2022-01-05,2022-01-07
302,302,3,9,1450000000,120000000,completed,2022-01-25,2022-01-28
303,303,2,12,2950000000,250000000,active,2022-03-10,2022-03-12
304,304,1,9,1250000000,110000000,completed,2022-03-25,2022-03-28
305,305,2,9,2850000000,230000000,completed,2022-05-05,2022-05-08
306,306,4,6,950000000,85000000,completed,2022-05-25,2022-05-28
307,307,6,12,3650000000,300000000,active,2022-07-10,2022-07-12
308,308,3,8,1150000000,100000000,completed,2022-07-25,2022-07-28
309,309,5,6,650000000,55000000,completed,2022-09-05,2022-09-08
310,310,2,11,3750000000,310000000,active,2022-09-25,2022-09-28
311,311,1,11,3450000000,280000000,active,2022-11-10,2022-11-12
312,312,6,11,3550000000,290000000,active,2022-11-25,2022-11-28
313,313,7,11,1850000000,160000000,active,2023-01-05,2023-01-07
314,314,4,5,550000000,45000000,completed,2023-01-25,2023-01-28
315,315,2,12,3950000000,330000000,active,2023-03-10,2023-03-12
316,316,3,9,1550000000,130000000,active,2023-03-25,2023-03-28
317,317,6,15,4850000000,400000000,active,2023-05-05,2023-05-08
318,318,1,8,1350000000,115000000,active,2023-05-25,2023-05-28
319,319,4,6,950000000,80000000,active,2023-07-10,2023-07-12
320,320,6,9,3250000000,270000000,active,2023-07-25,2023-07-28
321,321,5,9,1450000000,120000000,completed,2022-01-15,2022-01-18
322,322,2,11,3650000000,300000000,completed,2022-02-10,2022-02-12
323,323,1,11,1850000000,160000000,completed,2022-03-15,2022-03-18
324,324,2,13,3850000000,320000000,completed,2022-04-10,2022-04-12
325,325,3,10,1550000000,130000000,completed,2022-05-15,2022-05-18
326,326,6,12,3450000000,285000000,completed,2022-06-10,2022-06-12
327,327,4,7,750000000,65000000,completed,2022-07-15,2022-07-18
328,328,2,8,1650000000,140000000,completed,2022-08-10,2022-08-12
329,329,6,10,2850000000,240000000,completed,2022-09-05,2022-09-08
330,330,3,7,1250000000,105000000,completed,2022-09-30,2022-10-02
331,331,7,11,3650000000,305000000,active,2022-11-15,2022-11-18
332,332,5,8,1750000000,150000000,completed,2022-12-05,2022-12-08
333,333,1,11,3550000000,295000000,active,2023-01-20,2023-01-22
334,334,2,11,3750000000,315000000,active,2023-02-10,2023-02-12
335,335,4,6,850000000,75000000,active,2023-03-15,2023-03-18
336,336,6,10,2450000000,210000000,active,2023-04-05,2023-04-08
337,337,6,11,3850000000,325000000,active,2023-04-30,2023-05-02
338,338,7,8,1850000000,160000000,active,2023-06-10,2023-06-12
339,339,1,7,2750000000,230000000,active,2023-07-15,2023-07-18
340,340,3,7,950000000,80000000,active,2023-08-05,2023-08-08
341,341,5,9,1450000000,125000000,completed,2022-02-23,2022-02-25
342,342,1,11,3650000000,305000000,completed,2022-03-20,2022-03-22
343,343,3,9,1550000000,135000000,completed,2022-04-25,2022-04-28
344,344,7,13,3850000000,325000000,completed,2022-05-20,2022-05-22
345,345,6,9,1850000000,160000000,completed,2022-06-25,2022-06-28
346,346,8,15,4550000000,380000000,active,2022-07-20,2022-07-22
347,347,4,7,750000000,65000000,completed,2022-08-15,2022-08-18
348,348,6,12,3650000000,310000000,active,2022-09-10,2022-09-12
349,349,2,17,4850000000,410000000,active,2022-10-25,2022-10-28
350,350,1,9,1650000000,145000000,completed,2022-11-20,2022-11-22
351,351,6,10,3550000000,300000000,active,2022-12-15,2022-12-18
352,352,3,9,1650000000,140000000,active,2023-01-25,2023-01-28
353,353,4,6,850000000,75000000,active,2023-02-20,2023-02-22
354,354,2,17,4950000000,420000000,active,2023-03-25,2023-03-28
355,355,7,9,1950000000,170000000,active,2023-04-20,2023-04-22
356,356,6,8,2450000000,210000000,active,2023-05-15,2023-05-18
357,357,7,11,3850000000,330000000,active,2023-06-20,2023-06-22
358,358,1,7,1450000000,125000000,active,2023-07-25,2023-07-28
359,359,4,6,950000000,85000000,active,2023-08-20,2023-08-22
360,360,8,13,4650000000,395000000,active,2023-09-15,2023-09-18
361,361,6,10,1850000000,160000000,completed,2022-03-05,2022-03-08
362,362,5,10,1650000000,145000000,completed,2022-03-31,2022-04-02
363,363,4,7,750000000,65000000,completed,2022-05-10,2022-05-12
364,364,3,10,1550000000,135000000,completed,2022-06-15,2022-06-18
365,365,6,12,3450000000,295000000,completed,2022-07-20,2022-07-22
366,366,1,16,4250000000,360000000,active,2022-08-25,2022-08-28
367,367,3,9,1650000000,145000000,completed,2022-09-20,2022-09-22
368,368,6,10,1950000000,170000000,completed,2022-10-25,2022-10-28
369,369,8,15,4750000000,405000000,active,2022-11-20,2022-11-22
370,370,7,10,2250000000,195000000,active,2022-12-15,2022-12-18
371,371,8,7,1150000000,100000000,active,2023-01-20,2023-01-22
372,372,6,11,3650000000,315000000,active,2023-02-15,2023-02-18
373,373,1,12,3850000000,330000000,active,2023-03-20,2023-03-22
374,374,6,8,1850000000,165000000,active,2023-04-15,2023-04-18
375,375,3,6,950000000,85000000,active,2023-05-20,2023-05-22
376,376,9,17,5250000000,450000000,active,2023-06-15,2023-06-18
377,377,1,8,1550000000,135000000,active,2023-07-20,2023-07-22
378,378,8,8,1750000000,155000000,active,2023-08-15,2023-08-18
379,379,4,6,850000000,75000000,active,2023-09-10,2023-09-12
380,380,7,10,3650000000,315000000,active,2023-10-05,2023-10-08
381,381,2,11,3750000000,320000000,completed,2022-04-10,2022-04-12
382,382,1,8,1450000000,125000000,completed,2022-05-15,2022-05-18
383,383,6,12,3550000000,305000000,completed,2022-06-20,2022-06-22
384,384,8,15,4650000000,400000000,active,2022-07-25,2022-07-28
385,385,4,7,750000000,65000000,completed,2022-08-20,2022-08-22
386,386,3,10,1650000000,145000000,completed,2022-09-15,2022-09-18
387,387,6,11,3650000000,315000000,active,2022-10-20,2022-10-22
388,388,6,9,1950000000,175000000,completed,2022-11-15,2022-11-18
389,389,8,11,4250000000,370000000,active,2022-12-10,2022-12-12
390,390,5,9,1750000000,155000000,active,2023-01-05,2023-01-07
391,391,1,11,3850000000,335000000,active,2023-01-31,2023-02-02
392,392,3,9,1650000000,145000000,active,2023-03-05,2023-03-08
393,393,6,11,3950000000,345000000,active,2023-03-31,2023-04-02
394,394,2,11,3850000000,335000000,active,2023-04-26,2023-04-28
395,395,6,9,1950000000,175000000,active,2023-05-20,2023-05-22
396,396,8,15,4850000000,425000000,active,2023-06-15,2023-06-18
397,397,7,9,2050000000,185000000,active,2023-07-10,2023-07-12
398,398,1,11,4050000000,355000000,active,2023-08-05,2023-08-08
399,399,2,9,3750000000,330000000,active,2023-08-31,2023-09-02
400,400,9,16,5350000000,470000000,active,2023-09-25,2023-09-28
401,401,6,14,4500000000,350000000,active,2024-01-10,2024-01-12
402,402,2,11,3800000000,280000000,delayed,2024-01-25,2024-01-28
403,403,1,11,4200000000,320000000,active,2024-03-05,2024-03-08
404,404,6,14,4850000000,365000000,completed,2024-03-25,2024-03-28
405,405,2,24,7500000000,550000000,active,2024-05-10,2024-05-12
406,406,3,10,2850000000,210000000,cancelled,2024-05-25,2024-05-28
407,407,5,7,1950000000,145000000,delayed,2024-07-05,2024-07-08
408,408,2,16,6200000000,480000000,active,2024-07-25,2024-07-28
409,409,6,8,3350000000,265000000,completed,2024-09-10,2024-09-12
410,410,1,12,5200000000,420000000,cancelled,2024-09-25,2024-09-28
411,411,6,9,3850000000,315000000,completed,2024-11-05,2024-11-08
412,412,5,8,2250000000,175000000,delayed,2024-11-25,2024-11-28
