id,allocation_id,role,quantity,expertise_level_id,avg_salary,created_at,last_updated_at
54,16,Project Manager,1,3,21000000,2016-04-05,2016-04-08
55,16,Fullstack Developer,1,2,11000000,2016-04-05,2016-04-08
56,17,Project Manager,1,5,38000000,2016-05-01,2016-05-03
57,17,Salesforce Consultant,2,4,22000000,2016-05-01,2016-05-03
58,17,Business Analyst,1,3,15000000,2016-05-01,2016-05-03
59,18,Project Manager,1,4,25000000,2016-05-25,2016-06-02
60,18,Java Developer,2,3,15500000,2016-05-25,2016-06-02
61,18,Frontend Developer,1,3,13500000,2016-05-25,2016-06-02
62,19,Project Manager,1,4,23000000,2016-07-05,2016-07-08
63,19,Cloud Engineer,1,3,14500000,2016-07-05,2016-07-08
64,19,Storage Specialist,1,3,14000000,2016-07-05,2016-07-08
65,20,Project Manager,1,3,20000000,2016-07-25,2016-07-28
66,20,Fullstack Developer,2,3,12500000,2016-07-25,2016-07-28
67,21,Project Manager,1,5,36000000,2016-09-10,2016-09-12
68,21,Data Engineer,2,4,19000000,2016-09-10,2016-09-12
69,21,Big Data Architect,1,5,25000000,2016-09-10,2016-09-12
70,22,Project Manager,1,4,27000000,2016-09-25,2016-09-28
71,22,DevOps Engineer,1,4,17500000,2016-09-25,2016-09-28
72,22,System Administrator,1,3,14500000,2016-09-25,2016-09-28
73,23,Project Manager,1,4,26000000,2016-11-05,2016-11-08
74,23,Mobile Developer,2,3,15500000,2016-11-05,2016-11-08
75,23,Backend Developer,1,3,14000000,2016-11-05,2016-11-08
76,24,Project Manager,1,5,34000000,2016-11-25,2016-11-28
77,24,DevOps Engineer,2,4,18000000,2016-11-25,2016-11-28
78,24,Legacy System Expert,1,5,22000000,2016-11-25,2016-11-28
79,25,Project Manager,1,4,25000000,2017-01-10,2017-01-12
80,25,Frontend Developer,2,3,14000000,2017-01-10,2017-01-12
81,25,Backend Developer,1,3,14500000,2017-01-10,2017-01-12
82,26,Project Manager,1,4,24000000,2017-01-25,2017-01-28
83,26,System Administrator,1,3,13500000,2017-01-25,2017-01-28
84,26,Security Specialist,1,4,16000000,2017-01-25,2017-01-28
85,27,Project Manager,1,5,37000000,2017-03-05,2017-03-08
86,27,Virtualization Expert,2,4,20000000,2017-03-05,2017-03-08
87,27,Network Engineer,1,4,16500000,2017-03-05,2017-03-08
88,28,Project Manager,1,4,23000000,2017-03-25,2017-03-28
89,28,Fullstack Developer,2,3,13000000,2017-03-25,2017-03-28
90,29,Project Manager,1,4,26000000,2017-05-10,2017-05-12
91,29,Security Engineer,2,4,17000000,2017-05-10,2017-05-12
92,29,Network Administrator,1,3,14000000,2017-05-10,2017-05-12
93,30,Project Manager,1,3,21000000,2017-05-25,2017-05-28
94,30,Frontend Developer,1,3,12500000,2017-05-25,2017-05-28
95,31,Project Manager,1,5,38000000,2017-07-05,2017-07-08
96,31,Data Scientist,2,4,21000000,2017-07-05,2017-07-08
97,31,Machine Learning Engineer,2,4,20000000,2017-07-05,2017-07-08
98,32,Project Manager,1,4,25000000,2017-07-25,2017-07-28
99,32,Mobile Developer,2,3,15000000,2017-07-25,2017-07-28
100,32,Payment Integration Specialist,1,4,17000000,2017-07-25,2017-07-28
101,33,Project Manager,1,5,37000000,2017-09-10,2017-09-12
102,33,IoT Architect,1,5,26000000,2017-09-10,2017-09-12
103,33,IoT Developer,2,4,19000000,2017-09-10,2017-09-12
104,33,Data Engineer,1,4,18000000,2017-09-10,2017-09-12
105,34,Project Manager,1,4,24000000,2017-09-25,2017-09-28
106,34,Cloud Engineer,1,3,15000000,2017-09-25,2017-09-28
107,34,Data Migration Specialist,1,3,14000000,2017-09-25,2017-09-28
108,35,Project Manager,1,4,26000000,2017-11-05,2017-11-08
109,35,Security Analyst,2,4,17000000,2017-11-05,2017-11-08
110,35,Backend Developer,1,3,14500000,2017-11-05,2017-11-08
111,36,Project Manager,1,3,20000000,2015-01-15,2015-01-18
112,36,AI Developer,1,3,15000000,2015-01-15,2015-01-18
113,37,Project Manager,1,5,35000000,2015-03-10,2015-03-12
114,37,DevOps Engineer,2,4,18500000,2015-03-10,2015-03-12
115,37,System Administrator,1,3,14500000,2015-03-10,2015-03-12
116,38,Project Manager,1,4,23000000,2015-04-25,2015-04-28
117,38,Backend Developer,2,3,13500000,2015-04-25,2015-04-28
118,39,Project Manager,1,4,24000000,2015-06-10,2015-06-12
119,39,Network Automation Engineer,1,4,16000000,2015-06-10,2015-06-12
120,39,System Administrator,1,3,13000000,2015-06-10,2015-06-12
121,40,Project Manager,1,3,19000000,2015-07-25,2015-07-28
122,40,Data Analyst,1,3,12000000,2015-07-25,2015-07-28
123,41,Project Manager,1,5,36000000,2015-09-15,2015-09-18
124,41,Salesforce Developer,2,4,20000000,2015-09-15,2015-09-18
125,41,Business Analyst,1,3,14000000,2015-09-15,2015-09-18
126,42,Project Manager,1,4,25000000,2015-10-25,2015-10-28
127,42,Mobile Developer,2,3,14500000,2015-10-25,2015-10-28
128,42,Backend Developer,1,3,13500000,2015-10-25,2015-10-28
129,43,Project Manager,1,5,34000000,2016-01-15,2016-01-18
130,43,IoT Developer,2,4,18500000,2016-01-15,2016-01-18
131,43,Cloud Engineer,1,3,15000000,2016-01-15,2016-01-18
132,44,Project Manager,1,4,26000000,2016-02-25,2016-02-28
133,44,Backend Developer,2,3,14000000,2016-02-25,2016-02-28
134,44,Architecture Consultant,1,4,18000000,2016-02-25,2016-02-28
135,45,Project Manager,1,4,23000000,2016-04-10,2016-04-12
136,45,Data Analyst,1,3,12500000,2016-04-10,2016-04-12
137,45,Web Analyst,1,2,9000000,2016-04-10,2016-04-12
138,46,Project Manager,1,3,21000000,2016-05-25,2016-05-28
139,46,AI Developer,1,3,14500000,2016-05-25,2016-05-28
140,47,Project Manager,1,5,35000000,2016-07-15,2016-07-18
141,47,DevOps Engineer,2,4,19000000,2016-07-15,2016-07-18
142,47,CI/CD Specialist,1,4,17500000,2016-07-15,2016-07-18
143,48,Project Manager,1,4,24000000,2016-08-25,2016-08-28
144,48,Frontend Developer,2,3,14000000,2016-08-25,2016-08-28
145,48,Backend Developer,1,3,13500000,2016-08-25,2016-08-28
146,49,Project Manager,1,4,25000000,2016-10-10,2016-10-12
147,49,Security Engineer,1,4,16500000,2016-10-10,2016-10-12
148,49,Network Engineer,1,3,14000000,2016-10-10,2016-10-12
149,50,Project Manager,1,3,20000000,2016-11-25,2016-11-28
150,50,Data Analyst,1,3,11500000,2016-11-25,2016-11-28
151,51,Project Manager,1,5,34000000,2017-01-15,2017-01-18
152,51,Backend Developer,2,4,17500000,2017-01-15,2017-01-18
153,51,DevOps Engineer,1,4,17000000,2017-01-15,2017-01-18
154,52,Project Manager,1,4,26000000,2017-02-25,2017-02-28
155,52,Mobile Developer,2,3,15000000,2017-02-25,2017-02-28
156,52,Backend Developer,1,3,14000000,2017-02-25,2017-02-28
157,53,Project Manager,1,5,36000000,2017-04-10,2017-04-12
158,53,Data Engineer,2,4,18500000,2017-04-10,2017-04-12
159,53,Streaming Specialist,1,4,17500000,2017-04-10,2017-04-12
160,54,Project Manager,1,4,24000000,2017-05-25,2017-05-28
161,54,DevOps Engineer,1,3,14500000,2017-05-25,2017-05-28
162,54,System Administrator,1,3,13000000,2017-05-25,2017-05-28
163,55,Project Manager,1,4,25000000,2017-07-15,2017-07-18
164,55,Data Engineer,1,4,16500000,2017-07-15,2017-07-18
165,55,Backend Developer,1,3,14000000,2017-07-15,2017-07-18
166,56,Project Manager,1,3,19000000,2015-01-25,2015-01-28
167,56,AI Developer,1,2,11000000,2015-01-25,2015-01-28
168,57,Project Manager,1,5,33000000,2015-04-05,2015-04-08
169,57,DevOps Engineer,2,4,18000000,2015-04-05,2015-04-08
170,57,System Administrator,1,3,14000000,2015-04-05,2015-04-08
171,58,Project Manager,1,4,23000000,2015-05-25,2015-05-28
172,58,Frontend Developer,2,3,13000000,2015-05-25,2015-05-28
173,59,Project Manager,1,4,24000000,2015-07-10,2015-07-12
174,59,Security Analyst,1,4,15500000,2015-07-10,2015-07-12
175,59,Network Engineer,1,3,13500000,2015-07-10,2015-07-12
176,60,Project Manager,1,3,20000000,2015-08-25,2015-08-28
177,60,Fullstack Developer,2,3,12000000,2015-08-25,2015-08-28
178,61,Project Manager,1,5,35000000,2015-10-15,2015-10-18
179,61,Data Scientist,2,4,19500000,2015-10-15,2015-10-18
180,61,Machine Learning Engineer,1,4,18500000,2015-10-15,2015-10-18
181,62,Project Manager,1,4,25000000,2015-11-25,2015-11-28
182,62,Mobile Developer,2,3,14000000,2015-11-25,2015-11-28
183,63,Project Manager,1,5,34000000,2016-02-10,2016-02-12
184,63,IoT Developer,2,4,18000000,2016-02-10,2016-02-12
185,63,Network Specialist,1,4,16500000,2016-02-10,2016-02-12
186,64,Project Manager,1,4,24000000,2016-03-25,2016-03-28
187,64,DevOps Engineer,1,3,14500000,2016-03-25,2016-03-28
188,64,System Administrator,1,3,13000000,2016-03-25,2016-03-28
189,65,Project Manager,1,4,23000000,2016-05-15,2016-05-18
190,65,Data Analyst,1,3,12500000,2016-05-15,2016-05-18
191,65,BI Developer,1,3,12000000,2016-05-15,2016-05-18
192,66,Project Manager,1,3,20000000,2016-06-25,2016-06-28
193,66,AI Developer,1,3,13500000,2016-06-25,2016-06-28
194,67,Project Manager,1,5,33000000,2016-08-10,2016-08-12
195,67,DevOps Engineer,2,4,17500000,2016-08-10,2016-08-12
196,67,CI/CD Specialist,1,4,16500000,2016-08-10,2016-08-12
197,68,Project Manager,1,4,22000000,2016-09-25,2016-09-28
198,68,Backend Developer,2,3,12500000,2016-09-25,2016-09-28
199,69,Project Manager,1,4,24000000,2016-11-15,2016-11-18
200,69,Security Engineer,1,4,15500000,2016-11-15,2016-11-18
201,70,Project Manager,1,3,19000000,2016-12-25,2016-12-28
202,70,Fullstack Developer,1,3,11500000,2016-12-25,2016-12-28
203,71,Project Manager,1,5,36000000,2017-02-10,2017-02-12
204,71,AI Specialist,2,4,20000000,2017-02-10,2017-02-12
205,71,Data Scientist,1,4,19000000,2017-02-10,2017-02-12
206,72,Project Manager,1,4,25000000,2017-03-25,2017-03-28
207,72,Mobile Developer,2,3,14500000,2017-03-25,2017-03-28
208,73,Project Manager,1,5,35000000,2017-05-15,2017-05-18
209,73,IoT Engineer,2,4,18500000,2017-05-15,2017-05-18
210,73,Cloud Specialist,1,4,17000000,2017-05-15,2017-05-18
211,74,Project Manager,1,4,26000000,2017-06-25,2017-06-28
212,74,DevOps Engineer,1,4,16500000,2017-06-25,2017-06-28
213,74,Microservices Architect,1,4,17500000,2017-06-25,2017-06-28
214,75,Project Manager,1,4,24000000,2017-08-10,2017-08-12
215,75,Data Analyst,1,3,13000000,2017-08-10,2017-08-12
216,75,Product Analyst,1,3,12500000,2017-08-10,2017-08-12
217,76,Project Manager,1,3,19000000,2015-03-10,2015-03-12
218,76,AI Developer,1,2,10500000,2015-03-10,2015-03-12
219,77,Project Manager,1,5,32000000,2015-04-25,2015-04-28
220,77,DevOps Engineer,2,4,17000000,2015-04-25,2015-04-28
221,78,Project Manager,1,4,22000000,2015-06-15,2015-06-18
222,78,Frontend Developer,2,3,12000000,2015-06-15,2015-06-18
223,79,Project Manager,1,4,23000000,2015-07-25,2015-07-28
224,79,Security Specialist,1,4,15000000,2015-07-25,2015-07-28
225,80,Project Manager,1,3,18000000,2015-09-15,2015-09-18
226,80,Fullstack Developer,1,3,11000000,2015-09-15,2015-09-18
227,81,Project Manager,1,4,25000000,2015-10-25,2015-10-28
228,81,API Developer,2,3,14000000,2015-10-25,2015-10-28
229,82,Project Manager,1,4,24000000,2015-12-10,2015-12-12
230,82,Mobile Developer,2,3,13500000,2015-12-10,2015-12-12
231,83,Project Manager,1,5,34000000,2015-12-25,2015-12-28
232,83,Data Engineer,2,4,18000000,2015-12-25,2015-12-28
233,83,Big Data Specialist,1,4,17500000,2015-12-25,2015-12-28
234,84,Project Manager,1,4,23000000,2016-02-15,2016-02-18
235,84,DevOps Engineer,1,3,14000000,2016-02-15,2016-02-18
236,85,Project Manager,1,4,24000000,2016-03-25,2016-03-28
237,85,Data Engineer,1,3,14500000,2016-03-25,2016-03-28
238,85,Log Analyst,1,3,12500000,2016-03-25,2016-03-28
239,86,Project Manager,1,3,20000000,2016-05-10,2016-05-12
240,86,Game Developer,1,3,13000000,2016-05-10,2016-05-12
241,87,Project Manager,1,5,33000000,2016-06-25,2016-06-28
242,87,DevOps Engineer,2,4,17000000,2016-06-25,2016-06-28
243,88,Project Manager,1,4,25000000,2016-08-15,2016-08-18
244,88,E-commerce Developer,2,3,14000000,2016-08-15,2016-08-18
245,89,Project Manager,1,4,23000000,2016-09-25,2016-09-28
246,89,Backup Administrator,1,3,13500000,2016-09-25,2016-09-28
247,90,Project Manager,1,3,19000000,2016-11-10,2016-11-12
248,90,CRM Specialist,1,3,12000000,2016-11-10,2016-11-12
249,91,Project Manager,1,4,26000000,2016-12-25,2016-12-28
250,91,Database Administrator,1,4,16000000,2016-12-25,2016-12-28
251,92,Project Manager,1,4,24000000,2017-02-10,2017-02-12
252,92,Mobile Developer,2,3,14000000,2017-02-10,2017-02-12
253,93,Project Manager,1,5,35000000,2017-03-25,2017-03-28
254,93,Data Engineer,2,4,18500000,2017-03-25,2017-03-28
255,94,Project Manager,1,4,25000000,2017-05-15,2017-05-18
256,94,Serverless Architect,1,4,17000000,2017-05-15,2017-05-18
257,95,Project Manager,1,4,24000000,2017-06-25,2017-06-28
258,95,Data Analyst,1,3,13500000,2017-06-25,2017-06-28
259,96,Project Manager,1,3,20000000,2017-08-10,2017-08-12
260,96,Payment Developer,1,3,12500000,2017-08-10,2017-08-12
261,97,Project Manager,1,5,36000000,2017-09-25,2017-09-28
262,97,DevOps Engineer,2,4,19000000,2017-09-25,2017-09-28
263,98,Project Manager,1,4,23000000,2017-11-15,2017-11-18
264,98,Frontend Developer,2,3,13000000,2017-11-15,2017-11-18
265,99,Project Manager,1,4,25000000,2017-12-10,2017-12-12
266,99,Security Engineer,1,4,16000000,2017-12-10,2017-12-12
267,100,Project Manager,1,5,38000000,2017-12-15,2017-12-18
268,100,Blockchain Developer,2,4,22000000,2017-12-15,2017-12-18
269,100,Security Auditor,1,5,25000000,2017-12-15,2017-12-18
270,101,Project Manager,1,5,38000000,2018-01-10,2018-01-12
271,101,Data Scientist,3,4,22000000,2018-01-10,2018-01-12
272,101,Machine Learning Engineer,2,4,21000000,2018-01-10,2018-01-12
273,101,Data Engineer,2,3,17000000,2018-01-10,2018-01-12
274,101,DevOps Engineer,1,4,18500000,2018-01-10,2018-01-12
275,102,Project Manager,1,5,37000000,2018-01-25,2018-01-28
276,102,Backend Developer,3,4,19000000,2018-01-25,2018-01-28
277,102,DevOps Engineer,2,4,19500000,2018-01-25,2018-01-28
278,102,Cloud Architect,1,5,25000000,2018-01-25,2018-01-28
279,103,Project Manager,1,5,39000000,2018-03-05,2018-03-08
280,103,Blockchain Developer,3,4,23000000,2018-03-05,2018-03-08
281,103,Security Engineer,2,4,21000000,2018-03-05,2018-03-08
282,103,Cryptography Expert,1,5,26000000,2018-03-05,2018-03-08
283,104,Project Manager,1,4,26000000,2018-03-25,2018-03-28
284,104,Mobile Developer,2,3,16000000,2018-03-25,2018-03-28
285,104,Security Specialist,1,4,18000000,2018-03-25,2018-03-28
286,104,Backend Developer,1,3,15000000,2018-03-25,2018-03-28
287,105,Project Manager,1,5,40000000,2018-05-10,2018-05-12
288,105,Data Scientist,2,4,22500000,2018-05-10,2018-05-12
289,105,Fraud Analyst,2,3,17000000,2018-05-10,2018-05-12
290,105,Data Engineer,1,4,19500000,2018-05-10,2018-05-12
291,106,Project Manager,1,5,42000000,2018-05-25,2018-05-28
292,106,IoT Engineer,3,4,21000000,2018-05-25,2018-05-28
293,106,Data Scientist,2,4,20500000,2018-05-25,2018-05-28
294,106,Industrial Engineer,1,4,19000000,2018-05-25,2018-05-28
295,107,Project Manager,1,4,25000000,2018-07-05,2018-07-08
296,107,Fullstack Developer,2,3,15500000,2018-07-05,2018-07-08
297,107,Cloud Engineer,1,4,17500000,2018-07-05,2018-07-08
298,108,Project Manager,1,5,36000000,2018-07-25,2018-07-28
299,108,Data Engineer,3,4,20000000,2018-07-25,2018-07-28
300,108,Data Architect,1,5,24000000,2018-07-25,2018-07-28
301,108,BI Developer,1,3,16500000,2018-07-25,2018-07-28
302,109,Project Manager,1,5,35000000,2018-09-10,2018-09-12
303,109,Security Architect,2,5,26000000,2018-09-10,2018-09-12
304,109,Network Engineer,2,4,18500000,2018-09-10,2018-09-12
305,109,Compliance Officer,1,4,19000000,2018-09-10,2018-09-12
306,110,Project Manager,1,4,24000000,2018-09-25,2018-09-28
307,110,VR Developer,2,3,17500000,2018-09-25,2018-09-28
308,110,3D Artist,1,3,16000000,2018-09-25,2018-09-28
309,111,Project Manager,1,4,26000000,2018-11-05,2018-11-08
310,111,Data Scientist,2,4,19500000,2018-11-05,2018-11-08
311,111,Machine Learning Engineer,1,4,18500000,2018-11-05,2018-11-08
312,112,Project Manager,1,5,40000000,2018-11-25,2018-11-28
313,112,Cloud Architect,2,5,25500000,2018-11-25,2018-11-28
314,112,DevOps Engineer,2,4,20000000,2018-11-25,2018-11-28
315,112,Network Engineer,1,4,18500000,2018-11-25,2018-11-28
316,113,Project Manager,1,4,23000000,2019-01-10,2019-01-12
317,113,Data Analyst,2,3,15000000,2019-01-10,2019-01-12
318,113,Edge Computing Specialist,1,4,17500000,2019-01-10,2019-01-12
319,114,Project Manager,1,5,37000000,2019-01-25,2019-01-28
320,114,3D Developer,2,4,20500000,2019-01-25,2019-01-28
321,114,Simulation Engineer,2,4,19500000,2019-01-25,2019-01-28
322,115,Project Manager,1,4,24000000,2019-03-05,2019-03-08
323,115,API Developer,2,3,16000000,2019-03-05,2019-03-08
324,115,Product Manager,1,4,19000000,2019-03-05,2019-03-08
325,116,Project Manager,1,5,45000000,2019-03-25,2019-03-28
326,116,Quantum Researcher,3,5,28000000,2019-03-25,2019-03-28
327,116,Physicist,2,5,26000000,2019-03-25,2019-03-28
328,117,Project Manager,1,5,35000000,2019-05-10,2019-05-12
329,117,Network Architect,2,5,25000000,2019-05-10,2019-05-12
330,117,Telecom Engineer,2,4,20000000,2019-05-10,2019-05-12
331,118,Project Manager,1,4,25000000,2019-05-25,2019-05-28
332,118,Data Scientist,2,4,19000000,2019-05-25,2019-05-28
333,118,Backend Developer,1,3,15500000,2019-05-25,2019-05-28
334,119,Project Manager,1,5,39000000,2019-07-05,2019-07-08
335,119,Blockchain Developer,3,4,22000000,2019-07-05,2019-07-08
336,119,Supply Chain Expert,1,4,19500000,2019-07-05,2019-07-08
337,120,Project Manager,1,4,23000000,2019-07-25,2019-07-28
338,120,Cloud Economist,1,4,18500000,2019-07-25,2019-07-28
339,120,Data Analyst,1,3,14500000,2019-07-25,2019-07-28
340,121,Project Manager,1,5,38000000,2019-09-10,2019-09-12
341,121,MLOps Engineer,3,4,21500000,2019-09-10,2019-09-12
342,121,Data Engineer,2,4,19500000,2019-09-10,2019-09-12
343,122,Project Manager,1,4,26000000,2019-09-25,2019-09-28
344,122,Security Engineer,2,4,18500000,2019-09-25,2019-09-28
345,122,DevOps Engineer,1,4,17500000,2019-09-25,2019-09-28
346,123,Project Manager,1,4,24000000,2019-11-05,2019-11-08
347,123,IoT Developer,2,3,16500000,2019-11-05,2019-11-08
348,123,Data Scientist,1,4,18000000,2019-11-05,2019-11-08
349,124,Project Manager,1,5,34000000,2019-11-25,2019-11-28
350,124,Data Architect,2,5,24000000,2019-11-25,2019-11-28
351,124,Data Product Manager,2,4,20000000,2019-11-25,2019-11-28
352,125,Project Manager,1,4,22000000,2018-01-15,2018-01-18
353,125,Ethics Researcher,2,4,18500000,2018-01-15,2018-01-18
354,125,Legal Expert,1,4,19000000,2018-01-15,2018-01-18
355,126,Project Manager,1,4,21000000,2018-02-10,2018-02-12
356,126,Cloud Consultant,1,4,17500000,2018-02-10,2018-02-12
357,126,System Analyst,1,3,14500000,2018-02-10,2018-02-12
358,127,Project Manager,1,5,34000000,2018-03-15,2018-03-18
359,127,Change Manager,2,4,18500000,2018-03-15,2018-03-18
360,127,Collaboration Specialist,2,3,15500000,2018-03-15,2018-03-18
361,128,Project Manager,1,4,25000000,2018-04-20,2018-04-23
362,128,Smart Contract Developer,2,4,19500000,2018-04-20,2018-04-23
363,128,Legal Advisor,1,4,18000000,2018-04-20,2018-04-23
364,129,Project Manager,1,4,23000000,2018-05-25,2018-05-28
365,129,AI Developer,2,3,16000000,2018-05-25,2018-05-28
366,129,Data Processor,1,2,11000000,2018-05-25,2018-05-28
367,130,Project Manager,1,3,20000000,2018-06-30,2018-07-03
368,130,Environmental Engineer,1,3,15000000,2018-06-30,2018-07-03
369,130,IoT Specialist,1,3,14500000,2018-06-30,2018-07-03
370,131,Project Manager,1,4,24000000,2018-08-05,2018-08-08
371,131,Frontend Developer,2,3,15500000,2018-08-05,2018-08-08
372,131,Architecture Lead,1,4,18500000,2018-08-05,2018-08-08
373,132,Project Manager,1,4,22000000,2018-09-10,2018-09-12
374,132,Data Quality Analyst,2,3,15000000,2018-09-10,2018-09-12
375,132,Data Engineer,1,3,14500000,2018-09-10,2018-09-12
376,133,Project Manager,1,5,32000000,2018-10-15,2018-10-18
377,133,Security Architect,2,5,24000000,2018-10-15,2018-10-18
378,133,Cloud Engineer,1,4,18000000,2018-10-15,2018-10-18
379,134,Project Manager,1,4,23000000,2018-11-20,2018-11-23
380,134,AR Developer,2,3,17000000,2018-11-20,2018-11-23
381,134,3D Designer,1,3,15500000,2018-11-20,2018-11-23
382,135,Project Manager,1,4,24000000,2018-12-25,2018-12-28
383,135,AI Researcher,2,4,19000000,2018-12-25,2018-12-28
384,135,HR Consultant,1,3,15000000,2018-12-25,2018-12-28
385,136,Project Manager,1,4,26000000,2019-01-01,2019-01-04
386,136,Cloud Engineer,2,4,18000000,2019-01-01,2019-01-04
387,136,Network Specialist,1,4,17500000,2019-01-01,2019-01-04
388,137,Project Manager,1,5,38000000,2019-02-05,2019-02-08
389,137,Blockchain Developer,3,4,21000000,2019-02-05,2019-02-08
390,137,Asset Manager,1,4,18500000,2019-02-05,2019-02-08
391,138,Project Manager,1,4,24000000,2019-03-10,2019-03-12
392,138,AI Engineer,2,4,18500000,2019-03-10,2019-03-12
393,138,Quality Analyst,1,3,15000000,2019-03-10,2019-03-12
394,139,Project Manager,1,4,23000000,2019-04-15,2019-04-18
395,139,Logistics Engineer,2,3,16000000,2019-04-15,2019-04-18
396,139,GPS Specialist,1,3,14500000,2019-04-15,2019-04-18
397,140,Project Manager,1,4,24000000,2019-05-20,2019-05-23
398,140,Frontend Developer,2,3,15500000,2019-05-20,2019-05-23
399,140,PWA Specialist,1,4,17000000,2019-05-20,2019-05-23
400,141,Project Manager,1,5,35000000,2019-06-25,2019-06-28
401,141,Data Engineer,3,4,19500000,2019-06-25,2019-06-28
402,141,Streaming Specialist,1,4,18500000,2019-06-25,2019-06-28
403,142,Project Manager,1,4,26000000,2019-07-31,2019-08-03
404,142,Security Engineer,2,4,18000000,2019-07-31,2019-08-03
405,142,Cloud Specialist,1,4,17500000,2019-07-31,2019-08-03
406,143,Project Manager,1,4,22000000,2019-09-05,2019-09-08
407,143,NLP Engineer,2,3,16500000,2019-09-05,2019-09-08
408,143,Chatbot Designer,1,3,15000000,2019-09-05,2019-09-08
409,144,Project Manager,1,5,37000000,2019-10-10,2019-10-12
410,144,Blockchain Developer,3,4,20500000,2019-10-10,2019-10-12
411,144,Payment Specialist,1,4,19000000,2019-10-10,2019-10-12
412,145,Project Manager,1,4,24000000,2019-11-15,2019-11-18
413,145,Agricultural Engineer,2,3,16000000,2019-11-15,2019-11-18
414,145,Data Scientist,1,4,17500000,2019-11-15,2019-11-18
415,146,Project Manager,1,4,23000000,2019-12-20,2019-12-23
416,146,Low-code Developer,2,3,15500000,2019-12-20,2019-12-23
417,146,Platform Engineer,1,4,17000000,2019-12-20,2019-12-23
418,147,Project Manager,1,5,30000000,2018-01-20,2018-01-23
419,147,Privacy Officer,2,4,19000000,2018-01-20,2018-01-23
420,147,Compliance Analyst,1,3,15000000,2018-01-20,2018-01-23
