id,project_id,technology_type_id,tool_name,created_at
207,88,2,PHP,8/15/2016
208,89,4,Veeam,9/25/2016
209,90,10,HubSpot,11/10/2016
210,91,4,PostgreSQL,12/25/2016
211,91,10,pgAdmin,12/25/2016
212,92,5,NativeScript,2/10/2017
213,92,1,Angular,2/10/2017
214,93,4,Apache Beam,3/25/2017
215,93,2,Java,3/25/2017
216,94,4,AWS Lambda,5/15/2017
217,94,2,Node.js,5/15/2017
218,95,4,Apache Druid,6/25/2017
219,95,2,Java,6/25/2017
220,96,6,Stripe API,8/10/2017
221,96,2,Node.js,8/10/2017
222,97,4,Azure Pipelines,9/25/2017
223,97,10,Docker,9/25/2017
224,98,1,Svelte,11/15/2017
225,98,2,Node.js,11/15/2017
226,99,8,Prisma Cloud,12/10/2017
227,99,4,Cloud Security,12/10/2017
228,100,6,Ethereum,12/15/2017
229,100,2,Solidity,12/15/2017
230,100,8,Smart Contract Security,12/15/2017
231,101,2,Python TensorFlow,1/10/2018
232,101,9,PyTorch,1/10/2018
233,101,3,Apache Spark,1/10/2018
234,101,4,AWS SageMaker,1/10/2018
235,101,10,MLflow,1/10/2018
236,102,2,Java Spring Boot,1/25/2018
237,102,4,Kubernetes,1/25/2018
238,102,6,Docker,1/25/2018
239,102,10,Helm,1/25/2018
240,103,2,Solidity,3/5/2018
241,103,6,Ethereum,3/5/2018
242,103,8,Web3.js,3/5/2018
243,103,4,IPFS,3/5/2018
244,104,5,React Native,3/25/2018
245,104,8,Biometric SDK,3/25/2018
246,104,2,Node.js,3/25/2018
247,104,3,MongoDB,3/25/2018
248,105,2,Python,5/10/2018
249,105,9,Scikit-learn,5/10/2018
250,105,4,Apache Kafka,5/10/2018
251,105,8,Elasticsearch,5/10/2018
252,106,6,MQTT,5/25/2018
253,106,4,AWS IoT Core,5/25/2018
254,106,2,Python,5/25/2018
255,106,3,Time Series DB,5/25/2018
256,107,2,Node.js,7/5/2018
257,107,4,AWS Lambda,7/5/2018
258,107,1,React.js,7/5/2018
259,107,3,DynamoDB,7/5/2018
260,108,2,Python,7/25/2018
261,108,4,Apache Iceberg,7/25/2018
262,108,3,Apache Hudi,7/25/2018
263,108,10,Apache Airflow,7/25/2018
264,109,8,Zscaler,9/10/2018
265,109,4,Cloudflare,9/10/2018
266,109,2,Python,9/10/2018
267,109,10,Terraform,9/10/2018
268,110,1,Unity 3D,9/25/2018
269,110,2,C#,9/25/2018
270,110,5,VR SDK,9/25/2018
271,111,2,Python,11/5/2018
272,111,9,XGBoost,11/5/2018
273,111,3,PostgreSQL,11/5/2018
274,111,4,Apache Flink,11/5/2018
275,112,4,AWS,11/25/2018
276,112,4,Google Cloud,11/25/2018
277,112,4,Azure,11/25/2018
278,112,10,Terraform,11/25/2018
279,113,6,Edge Computing,1/10/2019
280,113,4,AWS Snowball,1/10/2019
281,113,2,Python,1/10/2019
282,113,3,Redis,1/10/2019
283,114,2,Java,1/25/2019
284,114,1,Three.js,1/25/2019
285,114,4,Digital Twin SDK,1/25/2019
286,114,3,Time Series DB,1/25/2019
287,115,2,Node.js,3/5/2019
288,115,6,GraphQL,3/5/2019
289,115,4,Kong API Gateway,3/5/2019
290,115,10,Apollo,3/5/2019
291,116,2,Python,3/25/2019
292,116,9,Qiskit,3/25/2019
293,116,4,IBM Quantum,3/25/2019
294,117,4,5G Core,5/10/2019
295,117,6,Network Slicing,5/10/2019
296,117,2,Python,5/10/2019
297,118,2,Python,5/25/2019
298,118,9,TensorFlow,5/25/2019
299,118,3,Redis,5/25/2019
300,118,4,Apache Spark,5/25/2019
301,119,2,Solidity,7/5/2019
302,119,6,Hyperledger,7/5/2019
303,119,4,IPFS,7/5/2019
304,119,8,Oracles,7/5/2019
305,120,2,Python,7/25/2019
306,120,4,AWS Cost Explorer,7/25/2019
307,120,9,ML Cost Optimization,7/25/2019
308,121,2,Python,9/10/2019
309,121,9,MLflow,9/10/2019
310,121,4,Kubeflow,9/10/2019
311,121,10,DVC,9/10/2019
312,122,8,SAST,9/25/2019
313,122,8,DAST,9/25/2019
314,122,10,Jenkins,9/25/2019
315,123,6,IoT Sensors,11/5/2019
316,123,2,Python,11/5/2019
317,123,9,Prophet,11/5/2019
318,123,4,Edge Device,11/5/2019
319,124,2,Scala,11/25/2019
320,124,4,Data Mesh,11/25/2019
321,124,3,Data Product,11/25/2019
322,124,10,Data Catalog,11/25/2019
323,125,2,Python,1/15/2018
324,125,9,Ethics Framework,1/15/2018
325,125,8,Compliance Tools,1/15/2018
326,126,4,Cloud Assessment,2/10/2018
327,126,2,Python,2/10/2018
328,126,10,Assessment Tools,2/10/2018
329,127,2,Java,3/15/2018
330,127,1,React.js,3/15/2018
331,127,6,Collaboration Tools,3/15/2018
332,128,2,Solidity,4/20/2018
333,128,6,Smart Contracts,4/20/2018
334,128,8,Formal Verification,4/20/2018
335,129,2,Python,5/25/2018
336,129,9,OCR Engine,5/25/2018
337,129,4,Document AI,5/25/2018
338,130,6,IoT Sensors,6/30/2018
339,130,2,Python,6/30/2018
340,130,4,Environmental API,6/30/2018
341,131,1,React.js,8/5/2018
342,131,2,Node.js,8/5/2018
343,131,6,Module Federation,8/5/2018
344,132,2,Python,9/10/2018
345,132,4,Great Expectations,9/10/2018
346,132,10,Data Quality,9/10/2018
347,133,8,CSPM,10/15/2018
348,133,4,Cloud Security,10/15/2018
349,133,10,Security Automation,10/15/2018
350,134,1,AR Kit,11/20/2018
351,134,2,Unity,11/20/2018
352,134,5,Mobile AR,11/20/2018
353,135,2,Python,12/25/2018
354,135,9,Recruitment AI,12/25/2018
355,135,3,PostgreSQL,12/25/2018
356,136,4,Multi-cloud,1/1/2019
357,136,2,Python,1/1/2019
358,136,10,Cloud Management,1/1/2019
359,137,2,Solidity,2/5/2019
360,137,6,Digital Assets,2/5/2019
361,137,4,Blockchain,2/5/2019
362,138,2,Python,3/10/2019
363,138,9,Edge AI,3/10/2019
364,138,6,IoT Camera,3/10/2019
365,139,6,GPS Tracking,4/15/2019
366,139,2,Python,4/15/2019
367,139,4,Fleet Management,4/15/2019
368,140,1,React.js,5/20/2019
369,140,2,Node.js,5/20/2019
370,140,6,PWA,5/20/2019
371,141,2,Scala,6/25/2019
372,141,4,Apache Flink,6/25/2019
373,141,3,ClickHouse,6/25/2019
374,142,8,CNAPP,7/31/2019
375,142,4,Cloud Native,7/31/2019
376,142,10,Security Tools,7/31/2019
377,143,2,Python,9/5/2019
378,143,9,NLP Engine,9/5/2019
379,143,6,Chatbot Platform,9/5/2019
380,144,2,Solidity,10/10/2019
381,144,6,Cross-border,10/10/2019
382,144,4,Payment Rails,10/10/2019
383,145,6,IoT Sensors,11/15/2019
384,145,2,Python,11/15/2019
385,145,9,Agricultural AI,11/15/2019
386,146,1,React.js,12/20/2019
387,146,2,Node.js,12/20/2019
388,146,6,Low-code Platform,12/20/2019
389,147,8,Privacy Tools,1/20/2018
390,147,2,Python,1/20/2018
391,147,10,Compliance Automation,1/20/2018
392,148,4,Cost Analytics,2/23/2018
393,148,2,Python,2/23/2018
394,148,9,Cost Optimization AI,2/23/2018
395,149,2,Python,3/31/2018
396,149,9,Sentiment Analysis,3/31/2018
397,149,4,Market Data API,3/31/2018
398,150,2,Solidity,5/5/2018
399,150,6,Voting System,5/5/2018
400,150,8,Cryptography,5/5/2018
401,151,6,IoT Sensors,6/10/2018
402,151,2,Python,6/10/2018
403,151,4,Smart City Platform,6/10/2018
404,152,1,React.js,7/15/2018
405,152,2,Node.js,7/15/2018
406,152,6,Headless CMS,7/15/2018
407,153,2,Python,8/20/2018
408,153,9,Predictive Analytics,8/20/2018
409,153,4,ML Platform,8/20/2018
410,154,8,IAM Platform,9/25/2018
411,154,2,Java,9/25/2018
412,154,10,Automation Tools,9/25/2018
413,155,2,Python,10/31/2018
414,155,9,Personalization AI,10/31/2018
415,155,3,Redis,10/31/2018
416,156,2,Java,12/5/2018
417,156,4,Kubernetes,12/5/2018
418,156,6,SaaS Platform,12/5/2018
419,157,4,Disaster Recovery,1/10/2019
420,157,2,Python,1/10/2019
421,157,10,DR Automation,1/10/2019
422,158,2,Solidity,2/15/2019
423,158,6,Digital Certificates,2/15/2019
424,158,8,Certificate Authority,2/15/2019
425,159,6,Medical IoT,3/20/2019
426,159,2,Python,3/20/2019
427,159,8,HIPAA Compliance,3/20/2019
428,160,2,Java,4/25/2019
429,160,4,Monitoring Tools,4/25/2019
430,160,10,Observability,4/25/2019
431,161,2,Python,5/31/2019
432,161,4,Data Discovery,5/31/2019
433,161,10,Data Catalog,5/31/2019
434,162,8,CWPP,7/5/2019
435,162,4,Cloud Workload,7/5/2019
436,162,10,Security Tools,7/5/2019
437,163,2,Python,8/10/2019
438,163,9,Voice AI,8/10/2019
439,163,6,Speech Recognition,8/10/2019
440,164,2,Solidity,9/15/2019
441,164,6,Royalty Management,9/15/2019
442,164,4,Blockchain,9/15/2019
443,165,6,Energy Sensors,10/20/2019
444,165,2,Python,10/20/2019
445,165,9,Energy AI,10/20/2019
446,166,1,React.js,11/25/2019
447,166,2,Node.js,11/25/2019
448,166,6,Jamstack,11/25/2019
449,167,2,Python,1/31/2018
450,167,4,Data Lineage,1/31/2018
451,167,10,Lineage Tools,1/31/2018
452,168,4,Network Optimization,3/7/2018
453,168,2,Python,3/7/2018
454,168,6,SD-WAN,3/7/2018
455,169,2,Python,4/13/2018
456,169,9,Risk AI,4/13/2018
457,169,4,Risk Platform,4/13/2018
458,170,2,Solidity,5/18/2018
459,170,6,Carbon Credits,5/18/2018
460,170,4,Blockchain,5/18/2018
461,171,6,Water Sensors,6/23/2018
462,171,2,Python,6/23/2018
463,171,4,Water Management,6/23/2018
464,172,1,Next.js,7/29/2018
465,172,2,Node.js,7/29/2018
466,172,6,SSR Platform,7/29/2018
467,173,2,Python,9/3/2018
468,173,4,Real-time BI,9/3/2018
469,173,3,OLAP Database,9/3/2018
470,174,8,Vulnerability Management,10/8/2018
471,174,2,Python,10/8/2018
472,174,10,Security Automation,10/8/2018
473,175,2,Python,11/13/2018
474,175,9,Code Analysis AI,11/13/2018
475,175,4,Code Review Platform,11/13/2018
476,176,2,Java,12/18/2018
477,176,4,Cloud Database,12/18/2018
478,176,6,Database Platform,12/18/2018
479,177,4,Multi-cloud Network,1/23/2019
480,177,2,Python,1/23/2019
481,177,6,Network Automation,1/23/2019
482,178,2,Solidity,2/28/2019
483,178,6,IP Management,2/28/2019
484,178,4,Blockchain,2/28/2019
485,179,2,Python,4/5/2019
486,179,9,Edge AI,4/5/2019
487,179,6,Automotive IoT,4/5/2019
488,180,2,Node.js,5/10/2019
489,180,6,GraphQL,5/10/2019
490,180,4,API Gateway,5/10/2019
491,181,2,Python,6/15/2019
492,181,4,Anonymization Tools,6/15/2019
493,181,8,Privacy Tools,6/15/2019
494,182,8,Security Automation,7/20/2019
495,182,2,Python,7/20/2019
496,182,10,Automation Tools,7/20/2019
497,183,2,Python,8/25/2019
498,183,9,Image Recognition AI,8/25/2019
499,183,4,Vision Platform,8/25/2019
500,184,2,Solidity,9/30/2019
501,184,6,Medical Records,9/30/2019
502,184,8,HIPAA Blockchain,9/30/2019
503,185,6,IoT Sensors,11/5/2019
504,185,2,Python,11/5/2019
505,185,9,Predictive Analytics,11/5/2019
506,186,1,React.js,12/10/2019
507,186,2,WebAssembly,12/10/2019
508,186,6,WASM Platform,12/10/2019
509,187,2,Python,2/10/2018
510,187,8,Ethics Tools,2/10/2018
511,187,10,Compliance Framework,2/10/2018
512,188,2,Python,3/17/2018
513,188,4,Cost Analytics,3/17/2018
514,188,9,Cost AI,3/17/2018
515,189,2,Python,4/22/2018
516,189,9,Sentiment AI,4/22/2018
517,189,4,Social API,4/22/2018
518,190,2,Solidity,5/28/2018
519,190,6,Real Estate,5/28/2018
520,190,4,Property Blockchain,5/28/2018
521,191,6,Logistics IoT,7/2/2018
522,191,2,Python,7/2/2018
523,191,4,Logistics Platform,7/2/2018
524,192,1,React.js,8/7/2018
525,192,2,Node.js,8/7/2018
526,192,6,PWA E-commerce,8/7/2018
527,193,2,Python,9/12/2018
528,193,4,Customer 360,9/12/2018
529,193,3,Data Warehouse,9/12/2018
530,194,8,Security Assessment,10/17/2018
531,194,2,Python,10/17/2018
532,194,10,Assessment Tools,10/17/2018
533,195,2,Python,11/22/2018
534,195,9,Translation AI,11/22/2018
535,195,4,Translation Platform,11/22/2018
536,196,2,Java,11/27/2018
537,196,4,Event Streaming,11/27/2018
538,196,6,Event Architecture,11/27/2018
539,197,4,Load Balancer,1/2/2019
540,197,2,Python,1/2/2019
541,197,6,Multi-cloud LB,1/2/2019
542,198,2,Solidity,2/7/2019
543,198,6,Digital Identity,2/7/2019
544,198,8,Identity Verification,2/7/2019
545,199,2,Python,3/14/2019
546,199,9,Automotive AI,3/14/2019
547,199,6,Edge Automotive,3/14/2019
548,200,2,Node.js,4/19/2019
549,200,4,Serverless Platform,4/19/2019
550,200,6,Microservices,4/19/2019
551,201,7,TensorFlow,1/10/2020
552,201,7,PyTorch,1/10/2020
553,201,2,Python Flask,1/10/2020
554,201,3,PostgreSQL,1/10/2020
555,201,9,AWS SageMaker,1/10/2020
556,201,8,JWT Authentication,1/10/2020
557,201,4,Docker,1/10/2020
558,202,9,Amazon EC2,1/25/2020
559,202,9,Auto Scaling,1/25/2020
560,202,2,Java Spring Boot,1/25/2020
561,202,3,MongoDB,1/25/2020
562,202,4,Kubernetes,1/25/2020
563,202,8,CloudWatch,1/25/2020
564,203,5,React Native,3/5/2020
565,203,1,React.js,3/5/2020
566,203,2,Node.js,3/5/2020
567,203,3,SQLite,3/5/2020
568,203,8,SSL Encryption,3/5/2020
569,203,10,Jest,3/5/2020
570,204,2,Python Django,3/25/2020
571,204,1,Vue.js,3/25/2020
572,204,3,MySQL,3/25/2020
573,204,9,Azure App Service,3/25/2020
574,204,8,OAuth 2.0,3/25/2020
575,204,4,Azure DevOps,3/25/2020
576,205,7,Scikit-learn,5/10/2020
577,205,7,XGBoost,5/10/2020
578,205,6,Apache Spark,5/10/2020
579,205,2,Python FastAPI,5/10/2020
580,205,3,Redis,5/10/2020
581,205,9,Google Cloud AI Platform,5/10/2020
582,206,1,Angular,5/25/2020
583,206,2,.NET Core,5/25/2020
584,206,3,SQL Server,5/25/2020
585,206,9,Azure Cloud,5/25/2020
586,206,10,Selenium,5/25/2020
587,207,9,AWS Cost Explorer,7/5/2020
588,207,4,Terraform,7/5/2020
589,207,6,CloudHealth,7/5/2020
590,207,2,Python,7/5/2020
591,207,3,DynamoDB,7/5/2020
592,208,7,PyTorch,7/25/2020
593,208,7,Keras,7/25/2020
594,208,6,Pandas,7/25/2020
595,208,2,Python,7/25/2020
596,208,3,PostgreSQL,7/25/2020
597,208,9,Google Cloud,7/25/2020
598,208,4,Kubernetes,7/25/2020
599,209,8,Zero Trust Framework,9/10/2020
600,209,9,AWS IAM,9/10/2020
601,209,2,Go,9/10/2020
602,209,3,PostgreSQL,9/10/2020
603,209,4,Docker,9/10/2020
604,209,10,OWASP ZAP,9/10/2020
605,210,2,Java Spring Boot,9/25/2020
606,210,1,React.js,9/25/2020
607,210,3,Oracle Database,9/25/2020
608,210,9,Azure Government,9/25/2020
609,210,8,SSL/TLS,9/25/2020
610,211,7,TensorFlow,11/5/2020
611,211,6,Apache Kafka,11/5/2020
612,211,2,Python Flask,11/5/2020
613,211,3,MongoDB,11/5/2020
614,211,9,AWS Lambda,11/5/2020
615,211,4,Serverless Framework,11/5/2020
616,212,1,React.js,11/25/2020
617,212,2,Node.js,11/25/2020
618,212,5,React Native,11/25/2020
619,212,3,PostgreSQL,11/25/2020
620,212,9,Google Workspace API,11/25/2020
621,212,10,Cypress,11/25/2020
622,213,5,IoT SDK,1/10/2021
623,213,2,Python,1/10/2021
624,213,3,Time Series DB,1/10/2021
625,213,9,AWS IoT Core,1/10/2021
626,213,4,Docker,1/10/2021
627,213,8,MQTT Security,1/10/2021
628,214,8,Blockchain Ethereum,1/25/2021
629,214,2,Solidity,1/25/2021
630,214,1,React.js,1/25/2021
631,214,3,IPFS,1/25/2021
632,214,9,AWS Blockchain,1/25/2021
633,214,10,Truffle,1/25/2021
634,215,2,Node.js,3/5/2021
635,215,1,React.js,3/5/2021
636,215,3,MongoDB,3/5/2021
637,215,4,Swagger,3/5/2021
638,215,8,OAuth 2.0,3/5/2021
639,216,7,Quantum ML Libraries,3/25/2021
640,216,2,Python,3/25/2021
641,216,6,Qiskit,3/25/2021
642,216,9,IBM Quantum,3/25/2021
643,216,4,Jupyter Notebooks,3/25/2021
644,217,9,5G Core Network,5/10/2021
645,217,2,C++,5/10/2021
646,217,3,Time Series DB,5/10/2021
647,217,4,Ansible,5/10/2021
648,217,8,Network Security,5/10/2021
649,218,7,TensorFlow,5/25/2021
650,218,2,Python Django,5/25/2021
651,218,1,React.js,5/25/2021
652,218,3,PostgreSQL,5/25/2021
653,218,8,HIPAA Compliance,5/25/2021
654,218,10,Pytest,5/25/2021
655,219,8,Hyperledger Fabric,7/5/2021
656,219,2,Node.js,7/5/2021
657,219,3,CouchDB,7/5/2021
658,219,1,React.js,7/5/2021
659,219,9,IBM Blockchain,7/5/2021
660,220,9,Green Cloud Compute,7/25/2021
661,220,4,Terraform,7/25/2021
662,220,6,Power Monitoring,7/25/2021
663,220,2,Go,7/25/2021
664,220,3,PostgreSQL,7/25/2021
665,221,7,Federated Learning,9/10/2021
666,221,2,Python,9/10/2021
667,221,3,Encrypted DB,9/10/2021
668,221,9,Google Cloud,9/10/2021
669,221,8,Differential Privacy,9/10/2021
670,221,4,Kubernetes,9/10/2021
671,222,4,Jenkins,9/25/2021
672,222,8,SAST Tools,9/25/2021
673,222,2,Python,9/25/2021
674,222,3,PostgreSQL,9/25/2021
675,222,9,AWS CodePipeline,9/25/2021
676,223,5,IoT Sensors,11/5/2021
677,223,2,Python,11/5/2021
678,223,3,Time Series DB,11/5/2021
679,223,9,AWS IoT,11/5/2021
680,223,8,Healthcare IoT Security,11/5/2021
681,223,4,Docker,11/5/2021
682,224,6,Data Mesh Platform,11/25/2021
683,224,2,Java,11/25/2021
684,224,3,Data Catalogs,11/25/2021
685,224,9,AWS Glue,11/25/2021
686,224,4,Airflow,11/25/2021
687,224,8,Data Governance,11/25/2021
688,225,7,Ethical AI Tools,1/15/2020
689,225,2,Python,1/15/2020
690,225,3,PostgreSQL,1/15/2020
691,225,8,Fairness Libraries,1/15/2020
692,225,10,Bias Testing,1/15/2020
693,226,9,Cloud Migration Tools,2/10/2020
694,226,4,Terraform,2/10/2020
695,226,2,Java,2/10/2020
696,226,3,MySQL,2/10/2020
697,226,8,Cloud Security,2/10/2020
698,227,2,Java Spring Boot,3/15/2020
699,227,1,Angular,3/15/2020
700,227,3,Oracle DB,3/15/2020
701,227,8,PCI DSS Tools,3/15/2020
702,227,9,Azure Banking,3/15/2020
703,227,4,Jenkins,3/15/2020
704,228,8,DeFi Protocol,4/20/2020
705,228,2,Solidity,4/20/2020
706,228,1,React.js,4/20/2020
707,228,3,Blockchain DB,4/20/2020
708,228,9,Ethereum Network,4/20/2020
709,229,7,Clinical Trial AI,5/25/2020
710,229,2,Python,5/25/2020
711,229,6,Clinical Data,5/25/2020
712,229,3,PostgreSQL,5/25/2020
713,229,9,AWS Healthcare,5/25/2020
714,229,8,HIPAA Security,5/25/2020
715,230,5,IoT Devices,6/30/2020
716,230,2,Python,6/30/2020
717,230,3,Time Series DB,6/30/2020
718,230,9,AWS IoT,6/30/2020
719,230,10,IoT Testing,6/30/2020
720,231,2,Java Spring Boot,8/5/2020
721,231,1,React.js,8/5/2020
722,231,3,MySQL,8/5/2020
723,231,4,Kubernetes,8/5/2020
724,231,9,Docker Swarm,8/5/2020
725,232,6,Real-time Analytics,9/10/2020
726,232,2,Python,9/10/2020
727,232,3,Apache Druid,9/10/2020
728,232,9,Kafka Streams,9/10/2020
729,232,4,Airflow,9/10/2020
730,233,8,Cloud Security Tools,10/15/2020
731,233,2,Python,10/15/2020
732,233,3,PostgreSQL,10/15/2020
